serial_number,file_date,time_sec,bv_volts,t_deg_c,do_mg_l,q,logger_type
7450-120329,2022-05-26T22:19:00Z,1653603540,3.46,16.923, +9.202,0.986,MiniDOt
7450-120329,2022-05-26T22:19:00Z,1653603840,3.46,15.491, +9.434,0.989,MiniDOt
7450-120329,2022-05-26T22:19:00Z,1653604140,3.46,15.302, +9.538,0.99,MiniDOt
7450-120329,2022-05-26T22:19:00Z,1653604440,3.46,15.173, +9.456,0.99,MiniDOt
7450-120329,2022-05-26T22:19:00Z,1653604740,3.46,15.165, +9.396,0.99,MiniDOt
7450-120329,2022-05-26T22:19:00Z,1653605040,3.46,15.319, +9.394,0.99,MiniDOt
7450-120329,2022-05-26T22:19:00Z,1653605340,3.46,15.456, +9.480,0.99,MiniDOt
7450-120329,2022-05-26T22:19:00Z,1653605640,3.45,15.491, +9.412,0.991,MiniDOt
7450-120329,2022-05-26T22:19:00Z,1653605940,3.45,15.551, +9.384,0.99,MiniDOt
7450-120329,2022-05-26T22:19:00Z,1653606240,3.45,15.551, +9.359,0.991,MiniDOt
7450-120329,2022-05-26T22:19:00Z,1653606540,3.45,15.551, +9.320,0.99,MiniDOt
7450-120329,2022-05-26T22:19:00Z,1653606840,3.45,15.516, +9.325,0.99,MiniDOt
7450-120329,2022-05-26T22:19:00Z,1653607140,3.45,15.525, +9.301,0.99,MiniDOt
7450-120329,2022-05-26T22:19:00Z,1653607440,3.45,15.585, +9.273,0.99,MiniDOt
7450-120329,2022-05-26T22:19:00Z,1653607740,3.46,15.713, +9.222,0.99,MiniDOt
7450-120329,2022-05-26T22:19:00Z,1653608040,3.46,15.739, +9.228,0.99,MiniDOt
7450-120329,2022-05-26T22:19:00Z,1653608340,3.46,15.713, +9.205,0.991,MiniDOt
7450-120329,2022-05-26T22:19:00Z,1653608640,3.45,15.688, +9.209,0.99,MiniDOt
7450-120329,2022-05-26T22:19:00Z,1653608940,3.45,15.679, +9.221,0.99,MiniDOt
7450-120329,2022-05-26T22:19:00Z,1653609240,3.45,15.67, +9.264,0.99,MiniDOt
7450-120329,2022-05-26T22:19:00Z,1653609540,3.45,15.653, +9.302,0.991,MiniDOt
7450-120329,2022-05-26T22:19:00Z,1653609840,3.45,15.662, +9.381,0.991,MiniDOt
7450-120329,2022-05-26T22:19:00Z,1653610140,3.45,15.653, +9.364,0.99,MiniDOt
7450-120329,2022-05-26T22:19:00Z,1653610440,3.45,15.679, +9.336,0.991,MiniDOt
7450-120329,2022-05-26T22:19:00Z,1653610740,3.45,15.679, +9.281,0.99,MiniDOt
7450-120329,2022-05-26T22:19:00Z,1653611040,3.45,15.688, +9.265,0.99,MiniDOt
7450-120329,2022-05-26T22:19:00Z,1653611340,3.45,15.662, +9.411,0.99,MiniDOt
7450-120329,2022-05-26T22:19:00Z,1653611640,3.45,15.67, +9.333,0.99,MiniDOt
7450-120329,2022-05-26T22:19:00Z,1653611940,3.45,15.645, +9.370,0.991,MiniDOt
7450-120329,2022-05-26T22:19:00Z,1653612240,3.45,15.533, +9.322,0.99,MiniDOt
7450-120329,2022-05-26T22:19:00Z,1653612540,3.45,15.533, +9.314,0.991,MiniDOt
7450-120329,2022-05-26T22:19:00Z,1653612840,3.45,15.559, +9.267,0.99,MiniDOt
7450-120329,2022-05-26T22:19:00Z,1653613140,3.45,15.559, +9.261,0.99,MiniDOt
7450-120329,2022-05-26T22:19:00Z,1653613440,3.45,15.551, +9.268,0.991,MiniDOt
7450-120329,2022-05-26T22:19:00Z,1653613740,3.45,15.525, +9.290,0.99,MiniDOt
7450-120329,2022-05-26T22:19:00Z,1653614040,3.45,15.482, +9.276,0.99,MiniDOt
7450-120329,2022-05-26T22:19:00Z,1653614340,3.45,15.499, +9.269,0.99,MiniDOt
7450-120329,2022-05-26T22:19:00Z,1653614640,3.45,15.448, +9.293,0.991,MiniDOt
7450-120329,2022-05-26T22:19:00Z,1653614940,3.45,15.448, +9.299,0.99,MiniDOt
7450-120329,2022-05-26T22:19:00Z,1653615240,3.45,15.414, +9.301,0.991,MiniDOt
7450-120329,2022-05-26T22:19:00Z,1653615540,3.45,15.371, +9.268,0.99,MiniDOt
7450-120329,2022-05-26T22:19:00Z,1653615840,3.45,15.311, +9.259,0.99,MiniDOt
7450-120329,2022-05-26T22:19:00Z,1653616140,3.45,15.242, +9.288,0.99,MiniDOt
7450-120329,2022-05-26T22:19:00Z,1653616440,3.45,15.268, +9.280,0.991,MiniDOt
7450-120329,2022-05-26T22:19:00Z,1653616740,3.45,15.216, +9.291,0.991,MiniDOt
7450-120329,2022-05-26T22:19:00Z,1653617040,3.46,15.199, +9.281,0.99,MiniDOt
7450-120329,2022-05-26T22:19:00Z,1653617340,3.46,15.208, +9.284,0.991,MiniDOt
7450-120329,2022-05-26T22:19:00Z,1653617640,3.46,15.208, +9.278,0.991,MiniDOt
7450-120329,2022-05-26T22:19:00Z,1653617940,3.45,15.19, +9.282,0.991,MiniDOt
7450-120329,2022-05-26T22:19:00Z,1653618240,3.45,15.173, +9.282,0.991,MiniDOt
7450-120329,2022-05-26T22:19:00Z,1653618540,3.45,15.13, +9.287,0.99,MiniDOt
7450-120329,2022-05-26T22:19:00Z,1653618840,3.46,15.13, +9.292,0.991,MiniDOt
7450-120329,2022-05-26T22:19:00Z,1653619140,3.45,15.147, +9.282,0.99,MiniDOt
7450-120329,2022-05-26T22:19:00Z,1653619440,3.46,15.139, +9.281,0.99,MiniDOt
7450-120329,2022-05-26T22:19:00Z,1653619740,3.45,15.139, +9.282,0.991,MiniDOt
7450-120329,2022-05-26T22:19:00Z,1653620040,3.46,15.104, +9.282,0.99,MiniDOt
7450-120329,2022-05-26T22:19:00Z,1653620340,3.46,15.087, +9.279,0.99,MiniDOt
7450-120329,2022-05-26T22:19:00Z,1653620640,3.46,15.07, +9.298,0.991,MiniDOt
7450-120329,2022-05-26T22:19:00Z,1653620940,3.46,15.01, +9.302,0.99,MiniDOt
7450-120329,2022-05-26T22:19:00Z,1653621240,3.46,15.018, +9.296,0.99,MiniDOt
7450-120329,2022-05-26T22:19:00Z,1653621540,3.46,15.01, +9.291,0.99,MiniDOt
7450-120329,2022-05-26T22:19:00Z,1653621840,3.46,14.975, +9.300,0.99,MiniDOt
7450-120329,2022-05-26T22:19:00Z,1653622140,3.46,14.95, +9.306,0.991,MiniDOt
7450-120329,2022-05-26T22:19:00Z,1653622440,3.46,14.941, +9.306,0.991,MiniDOt
7450-120329,2022-05-26T22:19:00Z,1653622740,3.46,14.906, +9.311,0.991,MiniDOt
7450-120329,2022-05-26T22:19:00Z,1653623040,3.46,14.863, +9.319,0.991,MiniDOt
7450-120329,2022-05-26T22:19:00Z,1653623340,3.46,14.855, +9.313,0.991,MiniDOt
7450-120329,2022-05-26T22:19:00Z,1653623640,3.46,14.838, +9.310,0.991,MiniDOt
7450-120329,2022-05-26T22:19:00Z,1653623940,3.46,14.829, +9.311,0.99,MiniDOt
7450-120329,2022-05-26T22:19:00Z,1653624240,3.46,14.82, +9.313,0.991,MiniDOt
7450-120329,2022-05-26T22:19:00Z,1653624540,3.46,14.794, +9.306,0.99,MiniDOt
7450-120329,2022-05-26T22:19:00Z,1653624840,3.46,14.751, +9.307,0.99,MiniDOt
7450-120329,2022-05-26T22:19:00Z,1653625140,3.46,14.691, +9.322,0.991,MiniDOt
7450-120329,2022-05-26T22:19:00Z,1653625440,3.46,14.656, +9.327,0.991,MiniDOt
7450-120329,2022-05-26T22:19:00Z,1653625740,3.45,14.648, +9.321,0.991,MiniDOt
7450-120329,2022-05-26T22:19:00Z,1653626040,3.45,14.613, +9.335,0.991,MiniDOt
7450-120329,2022-05-26T22:19:00Z,1653626340,3.45,14.639, +9.327,0.991,MiniDOt
7450-120329,2022-05-26T22:19:00Z,1653626640,3.45,14.553, +9.329,0.991,MiniDOt
7450-120329,2022-05-26T22:19:00Z,1653626940,3.45,14.466, +9.345,0.991,MiniDOt
7450-120329,2022-05-26T22:19:00Z,1653627240,3.45,14.406, +9.347,0.991,MiniDOt
