"Plot Title: 10922224-in lab"
"#","Date","Time, GMT-06:00","DO conc, mg/L (LGR S/N: 10922224, SEN S/N: 10922224)","Temp, °C (LGR S/N: 10922224, SEN S/N: 10922224)","Coupler Attached (LGR S/N: 10922224)","Host Connected (LGR S/N: 10922224)","Stopped (LGR S/N: 10922224)","End Of File (LGR S/N: 10922224)"
1,05/26/22,04:00:00  PM,8.76,20.98,,,,
2,05/26/22,04:05:00  PM,8.80,21.14,,,,
3,05/26/22,04:10:00  PM,8.81,21.08,,,,
4,05/26/22,04:15:00  PM,8.81,20.98,,,,
5,05/26/22,04:20:00  PM,8.75,21.24,,,,
6,05/26/22,04:25:00  PM,10.39,17.12,,,,
7,05/26/22,04:30:00  PM,10.80,15.90,,,,
8,05/26/22,04:35:00  PM,10.94,15.38,,,,
9,05/26/22,04:40:00  PM,11.06,15.20,,,,
10,05/26/22,04:45:00  PM,11.12,15.22,,,,
11,05/26/22,04:50:00  PM,11.15,15.32,,,,
12,05/26/22,04:55:00  PM,11.06,15.40,,,,
13,05/26/22,05:00:00  PM,11.04,15.46,,,,
14,05/26/22,05:05:00  PM,11.03,15.48,,,,
15,05/26/22,05:10:00  PM,10.95,15.46,,,,
16,05/26/22,05:15:00  PM,10.94,15.44,,,,
17,05/26/22,05:20:00  PM,10.93,15.46,,,,
18,05/26/22,05:25:00  PM,10.94,15.50,,,,
19,05/26/22,05:30:00  PM,10.94,15.60,,,,
20,05/26/22,05:35:00  PM,10.92,15.66,,,,
21,05/26/22,05:40:00  PM,10.90,15.64,,,,
22,05/26/22,05:45:00  PM,10.90,15.62,,,,
23,05/26/22,05:50:00  PM,10.90,15.62,,,,
24,05/26/22,05:55:00  PM,11.02,15.60,,,,
25,05/26/22,06:00:00  PM,10.99,15.60,,,,
26,05/26/22,06:05:00  PM,11.01,15.60,,,,
27,05/26/22,06:10:00  PM,11.00,15.62,,,,
28,05/26/22,06:15:00  PM,10.99,15.62,,,,
29,05/26/22,06:20:00  PM,10.93,15.62,,,,
30,05/26/22,06:25:00  PM,10.88,15.62,,,,
31,05/26/22,06:30:00  PM,11.11,15.62,,,,
32,05/26/22,06:35:00  PM,11.04,15.58,,,,
33,05/26/22,06:40:00  PM,10.95,15.54,,,,
34,05/26/22,06:45:00  PM,10.93,15.50,,,,
35,05/26/22,06:50:00  PM,10.92,15.50,,,,
36,05/26/22,06:55:00  PM,11.02,15.50,,,,
37,05/26/22,07:00:00  PM,10.93,15.50,,,,
38,05/26/22,07:05:00  PM,11.11,15.50,,,,
39,05/26/22,07:10:00  PM,11.02,15.48,,,,
40,05/26/22,07:15:00  PM,10.95,15.46,,,,
41,05/26/22,07:20:00  PM,10.94,15.44,,,,
42,05/26/22,07:25:00  PM,10.91,15.42,,,,
43,05/26/22,07:30:00  PM,10.83,15.36,,,,
44,05/26/22,07:35:00  PM,10.96,15.30,,,,
45,05/26/22,07:40:00  PM,10.89,15.24,,,,
46,05/26/22,07:45:00  PM,10.91,15.22,,,,
47,05/26/22,07:50:00  PM,10.91,15.20,,,,
48,05/26/22,07:55:00  PM,10.88,15.20,,,,
49,05/26/22,08:00:00  PM,10.95,15.20,,,,
50,05/26/22,08:05:00  PM,10.91,15.16,,,,
51,05/26/22,08:10:00  PM,10.81,15.18,,,,
52,05/26/22,08:15:00  PM,10.80,15.16,,,,
53,05/26/22,08:20:00  PM,10.67,15.16,,,,
54,05/26/22,08:25:00  PM,10.67,15.14,,,,
55,05/26/22,08:30:00  PM,10.67,15.14,,,,
56,05/26/22,08:35:00  PM,10.69,15.14,,,,
57,05/26/22,08:40:00  PM,10.76,15.14,,,,
58,05/26/22,08:45:00  PM,10.80,15.14,,,,
59,05/26/22,08:50:00  PM,10.72,15.10,,,,
60,05/26/22,08:55:00  PM,10.79,15.08,,,,
61,05/26/22,09:00:00  PM,10.72,15.06,,,,
62,05/26/22,09:05:00  PM,10.78,15.04,,,,
63,05/26/22,09:10:00  PM,10.72,15.04,,,,
64,05/26/22,09:15:00  PM,10.75,15.00,,,,
65,05/26/22,09:20:00  PM,10.67,14.98,,,,
66,05/26/22,09:25:00  PM,10.65,14.94,,,,
67,05/26/22,09:30:00  PM,10.69,14.92,,,,
68,05/26/22,09:35:00  PM,10.62,14.90,,,,
69,05/26/22,09:40:00  PM,10.67,14.90,,,,
70,05/26/22,09:45:00  PM,10.61,14.88,,,,
71,05/26/22,09:50:00  PM,10.67,14.86,,,,
72,05/26/22,09:55:00  PM,10.69,14.86,,,,
73,05/26/22,10:00:00  PM,10.63,14.82,,,,
74,05/26/22,10:05:00  PM,10.67,14.80,,,,
75,05/26/22,10:10:00  PM,10.63,14.76,,,,
76,05/26/22,10:15:00  PM,10.60,14.70,,,,
77,05/26/22,10:20:00  PM,10.70,14.54,,,,
78,05/26/22,10:25:00  PM,10.71,14.58,,,,
79,05/26/22,10:30:00  PM,10.67,14.56,,,,
80,05/26/22,10:35:00  PM,10.69,14.60,,,,
81,05/26/22,10:40:00  PM,10.65,14.56,,,,
82,05/26/22,10:45:00  PM,10.71,14.46,,,,
83,05/26/22,10:50:00  PM,10.74,14.38,,,,
84,05/26/22,10:55:00  PM,10.70,14.32,,,,
85,05/26/22,11:00:00  PM,10.62,14.28,,,,
86,05/26/22,11:05:00  PM,10.71,14.32,,,,
87,05/26/22,11:10:00  PM,10.64,14.40,,,,
88,05/26/22,11:15:00  PM,10.63,14.40,,,,
89,05/26/22,11:20:00  PM,10.64,14.34,,,,
90,05/26/22,11:25:00  PM,10.71,14.34,,,,
91,05/26/22,11:30:00  PM,10.68,14.32,,,,
92,05/26/22,11:35:00  PM,10.69,14.26,,,,
93,05/26/22,11:40:00  PM,10.68,14.18,,,,
94,05/26/22,11:45:00  PM,10.76,14.14,,,,
95,05/26/22,11:50:00  PM,10.81,14.12,,,,
96,05/26/22,11:55:00  PM,10.75,14.12,,,,
97,05/27/22,12:00:00  AM,10.70,14.10,,,,
98,05/27/22,12:05:00  AM,10.71,14.04,,,,
99,05/27/22,12:10:00  AM,10.71,14.00,,,,
100,05/27/22,12:15:00  AM,10.67,13.94,,,,
101,05/27/22,12:20:00  AM,10.76,13.90,,,,
102,05/27/22,12:25:00  AM,10.76,13.90,,,,
103,05/27/22,12:30:00  AM,10.74,13.92,,,,
104,05/27/22,12:35:00  AM,10.71,13.90,,,,
105,05/27/22,12:40:00  AM,10.76,13.82,,,,
106,05/27/22,12:45:00  AM,10.73,13.76,,,,
107,05/27/22,12:50:00  AM,10.86,13.74,,,,
108,05/27/22,12:55:00  AM,10.80,13.74,,,,
109,05/27/22,01:00:00  AM,10.80,13.74,,,,
110,05/27/22,01:05:00  AM,10.80,13.72,,,,
111,05/27/22,01:10:00  AM,10.74,13.68,,,,
112,05/27/22,01:15:00  AM,10.75,13.66,,,,
113,05/27/22,01:20:00  AM,10.75,13.62,,,,
114,05/27/22,01:25:00  AM,10.75,13.60,,,,
115,05/27/22,01:30:00  AM,10.73,13.56,,,,
116,05/27/22,01:35:00  AM,10.72,13.54,,,,
117,05/27/22,01:40:00  AM,10.76,13.50,,,,
118,05/27/22,01:45:00  AM,10.79,13.46,,,,
119,05/27/22,01:50:00  AM,10.83,13.44,,,,
120,05/27/22,01:55:00  AM,10.80,13.42,,,,
121,05/27/22,02:00:00  AM,10.82,13.38,,,,
122,05/27/22,02:05:00  AM,10.94,13.34,,,,
