"Plot Title: 2022spring-20078576-logger_comparison"
"#","Date","Time, GMT-06:00","DO conc, mg/L (LGR S/N: 20078576, SEN S/N: 20078576)","Temp, °C (LGR S/N: 20078576, SEN S/N: 20078576)","Coupler Attached (LGR S/N: 20078576)","Host Connected (LGR S/N: 20078576)","Coupler Detached (LGR S/N: 20078576)","Stopped (LGR S/N: 20078576)","End Of File (LGR S/N: 20078576)"
1,05/26/22,04:00:00  PM,8.78,21.16,,,,,
2,05/26/22,04:05:00  PM,8.78,21.02,,,,,
3,05/26/22,04:10:00  PM,8.77,20.96,,,,,
4,05/26/22,04:15:00  PM,8.76,20.94,,,,,
5,05/26/22,04:20:00  PM,8.73,20.98,,,,,
6,05/26/22,04:25:00  PM,9.28,19.52,,,,,
7,05/26/22,04:30:00  PM,10.40,16.58,,,,,
8,05/26/22,04:35:00  PM,10.68,15.70,,,,,
9,05/26/22,04:40:00  PM,10.91,15.34,,,,,
10,05/26/22,04:45:00  PM,10.98,15.34,,,,,
11,05/26/22,04:50:00  PM,11.04,15.42,,,,,
12,05/26/22,04:55:00  PM,11.04,15.46,,,,,
13,05/26/22,05:00:00  PM,11.03,15.48,,,,,
14,05/26/22,05:05:00  PM,10.94,15.48,,,,,
15,05/26/22,05:10:00  PM,10.93,15.46,,,,,
16,05/26/22,05:15:00  PM,10.94,15.46,,,,,
17,05/26/22,05:20:00  PM,10.96,15.46,,,,,
18,05/26/22,05:25:00  PM,10.93,15.56,,,,,
19,05/26/22,05:30:00  PM,10.92,15.62,,,,,
20,05/26/22,05:35:00  PM,10.88,15.66,,,,,
21,05/26/22,05:40:00  PM,10.86,15.66,,,,,
22,05/26/22,05:45:00  PM,10.87,15.64,,,,,
23,05/26/22,05:50:00  PM,10.87,15.62,,,,,
24,05/26/22,05:55:00  PM,11.02,15.60,,,,,
25,05/26/22,06:00:00  PM,11.02,15.62,,,,,
26,05/26/22,06:05:00  PM,11.03,15.62,,,,,
27,05/26/22,06:10:00  PM,11.02,15.62,,,,,
28,05/26/22,06:15:00  PM,10.94,15.62,,,,,
29,05/26/22,06:20:00  PM,10.92,15.64,,,,,
30,05/26/22,06:25:00  PM,10.89,15.62,,,,,
31,05/26/22,06:30:00  PM,11.03,15.62,,,,,
32,05/26/22,06:35:00  PM,10.92,15.60,,,,,
33,05/26/22,06:40:00  PM,10.87,15.58,,,,,
34,05/26/22,06:45:00  PM,10.78,15.52,,,,,
35,05/26/22,06:50:00  PM,10.85,15.50,,,,,
36,05/26/22,06:55:00  PM,10.82,15.48,,,,,
37,05/26/22,07:00:00  PM,10.85,15.52,,,,,
38,05/26/22,07:05:00  PM,10.83,15.50,,,,,
39,05/26/22,07:10:00  PM,10.88,15.48,,,,,
40,05/26/22,07:15:00  PM,10.86,15.46,,,,,
41,05/26/22,07:20:00  PM,10.85,15.46,,,,,
42,05/26/22,07:25:00  PM,10.72,15.42,,,,,
43,05/26/22,07:30:00  PM,10.78,15.36,,,,,
44,05/26/22,07:35:00  PM,10.78,15.36,,,,,
45,05/26/22,07:40:00  PM,10.86,15.26,,,,,
46,05/26/22,07:45:00  PM,10.88,15.22,,,,,
47,05/26/22,07:50:00  PM,10.85,15.20,,,,,
48,05/26/22,07:55:00  PM,10.81,15.18,,,,,
49,05/26/22,08:00:00  PM,10.76,15.18,,,,,
50,05/26/22,08:05:00  PM,10.75,15.16,,,,,
51,05/26/22,08:10:00  PM,10.77,15.16,,,,,
52,05/26/22,08:15:00  PM,10.71,15.14,,,,,
53,05/26/22,08:20:00  PM,10.70,15.14,,,,,
54,05/26/22,08:25:00  PM,10.70,15.12,,,,,
55,05/26/22,08:30:00  PM,10.80,15.10,,,,,
56,05/26/22,08:35:00  PM,10.79,15.08,,,,,
57,05/26/22,08:40:00  PM,10.77,15.08,,,,,
58,05/26/22,08:45:00  PM,10.76,15.08,,,,,
59,05/26/22,08:50:00  PM,10.71,15.08,,,,,
60,05/26/22,08:55:00  PM,10.77,15.06,,,,,
61,05/26/22,09:00:00  PM,10.75,15.04,,,,,
62,05/26/22,09:05:00  PM,10.75,15.02,,,,,
63,05/26/22,09:10:00  PM,10.74,15.00,,,,,
64,05/26/22,09:15:00  PM,10.75,15.00,,,,,
65,05/26/22,09:20:00  PM,10.72,14.96,,,,,
66,05/26/22,09:25:00  PM,10.72,14.94,,,,,
67,05/26/22,09:30:00  PM,10.73,14.90,,,,,
68,05/26/22,09:35:00  PM,10.70,14.88,,,,,
69,05/26/22,09:40:00  PM,10.70,14.86,,,,,
70,05/26/22,09:45:00  PM,10.68,14.84,,,,,
71,05/26/22,09:50:00  PM,10.68,14.82,,,,,
72,05/26/22,09:55:00  PM,10.72,14.80,,,,,
73,05/26/22,10:00:00  PM,10.72,14.78,,,,,
74,05/26/22,10:05:00  PM,10.66,14.78,,,,,
75,05/26/22,10:10:00  PM,10.60,14.74,,,,,
76,05/26/22,10:15:00  PM,10.57,14.70,,,,,
77,05/26/22,10:20:00  PM,10.73,14.56,,,,,
78,05/26/22,10:25:00  PM,10.75,14.58,,,,,
79,05/26/22,10:30:00  PM,10.66,14.58,,,,,
80,05/26/22,10:35:00  PM,10.66,14.58,,,,,
81,05/26/22,10:40:00  PM,10.67,14.56,,,,,
82,05/26/22,10:45:00  PM,10.64,14.48,,,,,
83,05/26/22,10:50:00  PM,10.73,14.36,,,,,
84,05/26/22,10:55:00  PM,10.73,14.28,,,,,
85,05/26/22,11:00:00  PM,10.66,14.22,,,,,
86,05/26/22,11:05:00  PM,10.71,14.26,,,,,
87,05/26/22,11:10:00  PM,10.67,14.28,,,,,
88,05/26/22,11:15:00  PM,10.64,14.32,,,,,
89,05/26/22,11:20:00  PM,10.63,14.32,,,,,
90,05/26/22,11:25:00  PM,10.70,14.34,,,,,
91,05/26/22,11:30:00  PM,10.67,14.32,,,,,
92,05/26/22,11:35:00  PM,10.60,14.30,,,,,
93,05/26/22,11:40:00  PM,10.61,14.16,,,,,
94,05/26/22,11:45:00  PM,10.71,14.14,,,,,
95,05/26/22,11:50:00  PM,10.68,14.12,,,,,
96,05/26/22,11:55:00  PM,10.68,14.10,,,,,
97,05/27/22,12:00:00  AM,10.70,14.08,,,,,
98,05/27/22,12:05:00  AM,10.65,14.06,,,,,
99,05/27/22,12:10:00  AM,10.64,14.02,,,,,
100,05/27/22,12:15:00  AM,10.66,13.92,,,,,
101,05/27/22,12:20:00  AM,10.77,13.86,,,,,
102,05/27/22,12:25:00  AM,10.74,13.84,,,,,
103,05/27/22,12:30:00  AM,10.78,13.84,,,,,
104,05/27/22,12:35:00  AM,10.72,13.86,,,,,
105,05/27/22,12:40:00  AM,10.73,13.82,,,,,
106,05/27/22,12:45:00  AM,10.73,13.80,,,,,
107,05/27/22,12:50:00  AM,10.77,13.74,,,,,
108,05/27/22,12:55:00  AM,10.76,13.72,,,,,
109,05/27/22,01:00:00  AM,10.70,13.70,,,,,
110,05/27/22,01:05:00  AM,10.68,13.70,,,,,
111,05/27/22,01:10:00  AM,10.73,13.68,,,,,
112,05/27/22,01:15:00  AM,10.74,13.66,,,,,
113,05/27/22,01:20:00  AM,10.77,13.62,,,,,
114,05/27/22,01:25:00  AM,10.75,13.60,,,,,
115,05/27/22,01:30:00  AM,10.74,13.56,,,,,
116,05/27/22,01:35:00  AM,10.76,13.52,,,,,
117,05/27/22,01:40:00  AM,10.74,13.50,,,,,
118,05/27/22,01:45:00  AM,10.74,13.46,,,,,
119,05/27/22,01:50:00  AM,10.79,13.40,,,,,
120,05/27/22,01:55:00  AM,10.78,13.38,,,,,
121,05/27/22,02:00:00  AM,10.78,13.36,,,,,
122,05/27/22,02:05:00  AM,10.91,13.30,,,,,
123,05/27/22,02:10:00  AM,10.89,13.28,,,,,
124,05/27/22,02:15:00  AM,10.92,13.26,,,,,
125,05/27/22,02:20:00  AM,10.88,13.24,,,,,
126,05/27/22,02:25:00  AM,10.85,13.22,,,,,
127,05/27/22,02:30:00  AM,10.81,13.24,,,,,
128,05/27/22,02:35:00  AM,10.82,13.24,,,,,
129,05/27/22,02:40:00  AM,10.79,13.20,,,,,
130,05/27/22,02:45:00  AM,10.80,13.20,,,,,
131,05/27/22,02:50:00  AM,10.76,13.18,,,,,
132,05/27/22,02:55:00  AM,10.83,13.18,,,,,
133,05/27/22,03:00:00  AM,10.73,13.20,,,,,
134,05/27/22,03:05:00  AM,10.80,13.18,,,,,
135,05/27/22,03:10:00  AM,10.78,13.18,,,,,
136,05/27/22,03:15:00  AM,10.79,13.16,,,,,
137,05/27/22,03:20:00  AM,10.86,13.14,,,,,
138,05/27/22,03:25:00  AM,10.80,13.12,,,,,
139,05/27/22,03:30:00  AM,10.80,13.10,,,,,
140,05/27/22,03:35:00  AM,10.79,13.08,,,,,
141,05/27/22,03:40:00  AM,10.81,13.06,,,,,
142,05/27/22,03:45:00  AM,10.80,13.04,,,,,
143,05/27/22,03:50:00  AM,10.80,13.02,,,,,
144,05/27/22,03:55:00  AM,10.81,12.98,,,,,
145,05/27/22,04:00:00  AM,10.77,12.96,,,,,
146,05/27/22,04:05:00  AM,10.73,12.94,,,,,
147,05/27/22,04:10:00  AM,10.79,12.92,,,,,
148,05/27/22,04:15:00  AM,10.79,12.92,,,,,
149,05/27/22,04:20:00  AM,10.80,12.90,,,,,
150,05/27/22,04:25:00  AM,10.79,12.88,,,,,
151,05/27/22,04:30:00  AM,10.80,12.86,,,,,
152,05/27/22,04:35:00  AM,10.81,12.84,,,,,
153,05/27/22,04:40:00  AM,10.75,12.82,,,,,
154,05/27/22,04:45:00  AM,10.75,12.82,,,,,
155,05/27/22,04:50:00  AM,10.77,12.80,,,,,
156,05/27/22,04:55:00  AM,10.75,12.80,,,,,
157,05/27/22,05:00:00  AM,10.82,12.76,,,,,
158,05/27/22,05:05:00  AM,10.77,12.72,,,,,
159,05/27/22,05:10:00  AM,10.83,12.72,,,,,
160,05/27/22,05:15:00  AM,10.93,12.56,,,,,
161,05/27/22,05:20:00  AM,10.89,12.60,,,,,
162,05/27/22,05:25:00  AM,11.00,12.58,,,,,
163,05/27/22,05:30:00  AM,11.04,12.48,,,,,
164,05/27/22,05:35:00  AM,11.08,12.44,,,,,
165,05/27/22,05:40:00  AM,10.94,12.46,,,,,
166,05/27/22,05:45:00  AM,11.03,12.38,,,,,
167,05/27/22,05:50:00  AM,11.08,12.42,,,,,
168,05/27/22,05:55:00  AM,11.13,12.38,,,,,
169,05/27/22,06:00:00  AM,11.07,12.32,,,,,
170,05/27/22,06:05:00  AM,10.98,12.30,,,,,
171,05/27/22,06:10:00  AM,10.95,12.32,,,,,
172,05/27/22,06:15:00  AM,10.93,12.30,,,,,
173,05/27/22,06:20:00  AM,10.96,12.36,,,,,
174,05/27/22,06:25:00  AM,10.92,12.32,,,,,
175,05/27/22,06:30:00  AM,10.98,12.32,,,,,
176,05/27/22,06:35:00  AM,10.97,12.30,,,,,
177,05/27/22,06:40:00  AM,11.00,12.30,,,,,
178,05/27/22,06:45:00  AM,10.93,12.40,,,,,
179,05/27/22,06:50:00  AM,10.91,12.42,,,,,
180,05/27/22,06:55:00  AM,10.90,12.44,,,,,
181,05/27/22,07:00:00  AM,11.01,12.42,,,,,
182,05/27/22,07:05:00  AM,10.97,12.46,,,,,
183,05/27/22,07:10:00  AM,10.90,12.48,,,,,
184,05/27/22,07:15:00  AM,10.94,12.46,,,,,
185,05/27/22,07:20:00  AM,10.93,12.48,,,,,
186,05/27/22,07:25:00  AM,10.92,12.48,,,,,
187,05/27/22,07:30:00  AM,10.95,12.46,,,,,
188,05/27/22,07:35:00  AM,10.83,12.44,,,,,
189,05/27/22,07:40:00  AM,10.05,14.34,,,,,
190,05/27/22,07:45:00  AM,9.82,15.50,,,,,
191,05/27/22,07:50:00  AM,9.89,15.52,,,,,
