"Plot Title: 2022spring-20291893-logger_comparison"
"#","Date","Time, GMT-06:00","DO conc, mg/L (LGR S/N: 20291893, SEN S/N: 20291893)","Temp, °C (LGR S/N: 20291893, SEN S/N: 20291893)","Coupler Attached (LGR S/N: 20291893)","Host Connected (LGR S/N: 20291893)","Stopped (LGR S/N: 20291893)","End Of File (LGR S/N: 20291893)"
1,05/26/22,04:00:00  PM,8.89,20.38,,,,
2,05/26/22,04:05:00  PM,8.92,20.52,,,,
3,05/26/22,04:10:00  PM,9.02,20.02,,,,
4,05/26/22,04:15:00  PM,9.51,18.78,,,,
5,05/26/22,04:20:00  PM,10.43,16.24,,,,
6,05/26/22,04:25:00  PM,10.76,15.36,,,,
7,05/26/22,04:30:00  PM,10.83,15.12,,,,
8,05/26/22,04:35:00  PM,10.83,15.00,,,,
9,05/26/22,04:40:00  PM,10.81,14.98,,,,
10,05/26/22,04:45:00  PM,10.74,15.18,,,,
11,05/26/22,04:50:00  PM,10.93,15.34,,,,
12,05/26/22,04:55:00  PM,10.85,15.40,,,,
13,05/26/22,05:00:00  PM,10.81,15.46,,,,
14,05/26/22,05:05:00  PM,10.76,15.48,,,,
15,05/26/22,05:10:00  PM,10.71,15.46,,,,
16,05/26/22,05:15:00  PM,10.64,15.46,,,,
17,05/26/22,05:20:00  PM,10.69,15.48,,,,
18,05/26/22,05:25:00  PM,10.57,15.58,,,,
19,05/26/22,05:30:00  PM,10.49,15.64,,,,
20,05/26/22,05:35:00  PM,10.45,15.68,,,,
21,05/26/22,05:40:00  PM,10.42,15.68,,,,
22,05/26/22,05:45:00  PM,10.41,15.66,,,,
23,05/26/22,05:50:00  PM,10.45,15.64,,,,
24,05/26/22,05:55:00  PM,10.66,15.62,,,,
25,05/26/22,06:00:00  PM,10.78,15.64,,,,
26,05/26/22,06:05:00  PM,10.78,15.64,,,,
27,05/26/22,06:10:00  PM,10.81,15.64,,,,
28,05/26/22,06:15:00  PM,10.78,15.66,,,,
29,05/26/22,06:20:00  PM,10.71,15.66,,,,
30,05/26/22,06:25:00  PM,10.70,15.66,,,,
31,05/26/22,06:30:00  PM,10.91,15.64,,,,
32,05/26/22,06:35:00  PM,10.84,15.62,,,,
33,05/26/22,06:40:00  PM,10.81,15.60,,,,
34,05/26/22,06:45:00  PM,10.71,15.52,,,,
35,05/26/22,06:50:00  PM,10.72,15.52,,,,
36,05/26/22,06:55:00  PM,10.75,15.52,,,,
37,05/26/22,07:00:00  PM,10.80,15.54,,,,
38,05/26/22,07:05:00  PM,10.76,15.52,,,,
39,05/26/22,07:10:00  PM,10.78,15.50,,,,
40,05/26/22,07:15:00  PM,10.76,15.48,,,,
41,05/26/22,07:20:00  PM,10.74,15.48,,,,
42,05/26/22,07:25:00  PM,10.69,15.46,,,,
43,05/26/22,07:30:00  PM,10.64,15.40,,,,
44,05/26/22,07:35:00  PM,10.67,15.38,,,,
45,05/26/22,07:40:00  PM,10.66,15.32,,,,
46,05/26/22,07:45:00  PM,10.66,15.26,,,,
47,05/26/22,07:50:00  PM,10.67,15.24,,,,
48,05/26/22,07:55:00  PM,10.71,15.22,,,,
49,05/26/22,08:00:00  PM,10.72,15.20,,,,
50,05/26/22,08:05:00  PM,10.73,15.20,,,,
51,05/26/22,08:10:00  PM,10.73,15.18,,,,
52,05/26/22,08:15:00  PM,10.69,15.18,,,,
53,05/26/22,08:20:00  PM,10.64,15.16,,,,
54,05/26/22,08:25:00  PM,10.60,15.14,,,,
55,05/26/22,08:30:00  PM,10.56,15.12,,,,
56,05/26/22,08:35:00  PM,10.58,15.10,,,,
57,05/26/22,08:40:00  PM,10.59,15.10,,,,
58,05/26/22,08:45:00  PM,10.60,15.10,,,,
59,05/26/22,08:50:00  PM,10.64,15.10,,,,
60,05/26/22,08:55:00  PM,10.68,15.08,,,,
61,05/26/22,09:00:00  PM,10.60,15.06,,,,
62,05/26/22,09:05:00  PM,10.57,15.04,,,,
63,05/26/22,09:10:00  PM,10.58,15.02,,,,
64,05/26/22,09:15:00  PM,10.61,15.00,,,,
65,05/26/22,09:20:00  PM,10.60,14.98,,,,
66,05/26/22,09:25:00  PM,10.62,14.94,,,,
67,05/26/22,09:30:00  PM,10.61,14.92,,,,
68,05/26/22,09:35:00  PM,10.59,14.90,,,,
69,05/26/22,09:40:00  PM,10.55,14.88,,,,
70,05/26/22,09:45:00  PM,10.47,14.84,,,,
71,05/26/22,09:50:00  PM,10.48,14.82,,,,
72,05/26/22,09:55:00  PM,10.53,14.80,,,,
73,05/26/22,10:00:00  PM,10.56,14.78,,,,
74,05/26/22,10:05:00  PM,10.55,14.78,,,,
75,05/26/22,10:10:00  PM,10.54,14.76,,,,
76,05/26/22,10:15:00  PM,10.55,14.70,,,,
77,05/26/22,10:20:00  PM,10.56,14.60,,,,
78,05/26/22,10:25:00  PM,10.54,14.60,,,,
79,05/26/22,10:30:00  PM,10.49,14.58,,,,
80,05/26/22,10:35:00  PM,10.45,14.58,,,,
81,05/26/22,10:40:00  PM,10.45,14.56,,,,
82,05/26/22,10:45:00  PM,10.49,14.50,,,,
83,05/26/22,10:50:00  PM,10.54,14.40,,,,
84,05/26/22,10:55:00  PM,10.61,14.30,,,,
85,05/26/22,11:00:00  PM,10.66,14.24,,,,
86,05/26/22,11:05:00  PM,10.61,14.24,,,,
87,05/26/22,11:10:00  PM,10.54,14.26,,,,
88,05/26/22,11:15:00  PM,10.48,14.32,,,,
89,05/26/22,11:20:00  PM,10.48,14.34,,,,
90,05/26/22,11:25:00  PM,10.46,14.34,,,,
91,05/26/22,11:30:00  PM,10.45,14.34,,,,
92,05/26/22,11:35:00  PM,10.45,14.32,,,,
93,05/26/22,11:40:00  PM,10.47,14.22,,,,
94,05/26/22,11:45:00  PM,10.55,14.16,,,,
95,05/26/22,11:50:00  PM,10.49,14.14,,,,
96,05/26/22,11:55:00  PM,10.48,14.12,,,,
97,05/27/22,12:00:00  AM,10.48,14.10,,,,
98,05/27/22,12:05:00  AM,10.49,14.06,,,,
99,05/27/22,12:10:00  AM,10.53,14.04,,,,
100,05/27/22,12:15:00  AM,10.54,13.96,,,,
101,05/27/22,12:20:00  AM,10.59,13.88,,,,
102,05/27/22,12:25:00  AM,10.63,13.84,,,,
103,05/27/22,12:30:00  AM,10.68,13.84,,,,
104,05/27/22,12:35:00  AM,10.61,13.86,,,,
105,05/27/22,12:40:00  AM,10.59,13.84,,,,
106,05/27/22,12:45:00  AM,10.63,13.82,,,,
107,05/27/22,12:50:00  AM,10.66,13.76,,,,
108,05/27/22,12:55:00  AM,10.66,13.74,,,,
109,05/27/22,01:00:00  AM,10.61,13.72,,,,
110,05/27/22,01:05:00  AM,10.59,13.72,,,,
111,05/27/22,01:10:00  AM,10.59,13.70,,,,
112,05/27/22,01:15:00  AM,10.59,13.68,,,,
113,05/27/22,01:20:00  AM,10.63,13.64,,,,
114,05/27/22,01:25:00  AM,10.64,13.62,,,,
115,05/27/22,01:30:00  AM,10.67,13.58,,,,
116,05/27/22,01:35:00  AM,10.69,13.54,,,,
117,05/27/22,01:40:00  AM,10.70,13.52,,,,
118,05/27/22,01:45:00  AM,10.70,13.48,,,,
119,05/27/22,01:50:00  AM,10.70,13.42,,,,
120,05/27/22,01:55:00  AM,10.75,13.40,,,,
121,05/27/22,02:00:00  AM,10.81,13.36,,,,
122,05/27/22,02:05:00  AM,10.81,13.32,,,,
