"Plot Title: 2022spring-21031760-logger_comparison"
"#","Date","Time, GMT-06:00","DO conc, mg/L (LGR S/N: 21031760, SEN S/N: 21031760)","Temp, °C (LGR S/N: 21031760, SEN S/N: 21031760)","Sensor Data Error (LGR S/N: 21031760)","Coupler Attached (LGR S/N: 21031760)","Host Connected (LGR S/N: 21031760)","Stopped (LGR S/N: 21031760)","End Of File (LGR S/N: 21031760)"
1,05/26/22,04:00:00  PM,8.76,18.38,,,,,
2,05/26/22,04:05:00  PM,8.76,18.40,,,,,
3,05/26/22,04:10:00  PM,8.73,18.42,,,,,
4,05/26/22,04:15:00  PM,8.75,18.42,,,,,
5,05/26/22,04:20:00  PM,8.75,18.46,,,,,
6,05/26/22,04:25:00  PM,9.01,17.78,,,,,
7,05/26/22,04:30:00  PM,10.55,16.22,,,,,
8,05/26/22,04:35:00  PM,10.91,15.38,,,,,
9,05/26/22,04:40:00  PM,11.06,15.16,,,,,
10,05/26/22,04:45:00  PM,11.08,15.28,,,,,
11,05/26/22,04:50:00  PM,11.08,15.38,,,,,
12,05/26/22,04:55:00  PM,11.04,15.46,,,,,
13,05/26/22,05:00:00  PM,11.03,15.48,,,,,
14,05/26/22,05:05:00  PM,10.98,15.48,,,,,
15,05/26/22,05:10:00  PM,10.99,15.46,,,,,
16,05/26/22,05:15:00  PM,10.96,15.48,,,,,
17,05/26/22,05:20:00  PM,11.00,15.50,,,,,
18,05/26/22,05:25:00  PM,10.91,15.62,,,,,
19,05/26/22,05:30:00  PM,10.95,15.68,,,,,
20,05/26/22,05:35:00  PM,10.89,15.70,,,,,
21,05/26/22,05:40:00  PM,10.84,15.68,,,,,
22,05/26/22,05:45:00  PM,10.90,15.66,,,,,
23,05/26/22,05:50:00  PM,10.87,15.64,,,,,
24,05/26/22,05:55:00  PM,11.00,15.64,,,,,
25,05/26/22,06:00:00  PM,10.99,15.64,,,,,
26,05/26/22,06:05:00  PM,11.02,15.66,,,,,
27,05/26/22,06:10:00  PM,11.00,15.66,,,,,
28,05/26/22,06:15:00  PM,10.95,15.66,,,,,
29,05/26/22,06:20:00  PM,10.95,15.66,,,,,
30,05/26/22,06:25:00  PM,10.87,15.66,,,,,
31,05/26/22,06:30:00  PM,11.05,15.64,,,,,
32,05/26/22,06:35:00  PM,11.02,15.64,,,,,
33,05/26/22,06:40:00  PM,10.87,15.60,,,,,
34,05/26/22,06:45:00  PM,10.88,15.56,,,,,
35,05/26/22,06:50:00  PM,10.89,15.52,,,,,
36,05/26/22,06:55:00  PM,10.94,15.50,,,,,
37,05/26/22,07:00:00  PM,10.95,15.52,,,,,
38,05/26/22,07:05:00  PM,10.87,15.52,,,,,
39,05/26/22,07:10:00  PM,10.86,15.52,,,,,
40,05/26/22,07:15:00  PM,10.90,15.50,,,,,
41,05/26/22,07:20:00  PM,10.89,15.48,,,,,
42,05/26/22,07:25:00  PM,10.87,15.46,,,,,
43,05/26/22,07:30:00  PM,10.84,15.44,,,,,
44,05/26/22,07:35:00  PM,10.76,15.42,,,,,
45,05/26/22,07:40:00  PM,10.88,15.38,,,,,
46,05/26/22,07:45:00  PM,10.87,15.30,,,,,
47,05/26/22,07:50:00  PM,10.80,15.22,,,,,
48,05/26/22,07:55:00  PM,10.95,15.20,,,,,
49,05/26/22,08:00:00  PM,10.94,15.20,,,,,
50,05/26/22,08:05:00  PM,10.94,15.18,,,,,
51,05/26/22,08:10:00  PM,10.86,15.18,,,,,
52,05/26/22,08:15:00  PM,10.76,15.16,,,,,
53,05/26/22,08:20:00  PM,10.71,15.14,,,,,
54,05/26/22,08:25:00  PM,10.75,15.14,,,,,
55,05/26/22,08:30:00  PM,10.72,15.12,,,,,
56,05/26/22,08:35:00  PM,10.75,15.10,,,,,
