"Plot Title: 2022spring-21031761-logger_comparison"
"#","Date","Time, GMT-06:00","DO conc, mg/L (LGR S/N: 21031761, SEN S/N: 21031761)","Temp, °C (LGR S/N: 21031761, SEN S/N: 21031761)","Coupler Attached (LGR S/N: 21031761)","Coupler Detached (LGR S/N: 21031761)","Host Connected (LGR S/N: 21031761)","Stopped (LGR S/N: 21031761)","End Of File (LGR S/N: 21031761)"
1,05/26/22,04:00:00  PM,8.71,20.80,,,,,
2,05/26/22,04:05:00  PM,8.74,20.66,,,,,
3,05/26/22,04:10:00  PM,8.71,20.70,,,,,
4,05/26/22,04:15:00  PM,8.65,20.82,,,,,
5,05/26/22,04:20:00  PM,8.67,20.96,,,,,
6,05/26/22,04:25:00  PM,8.79,20.88,,,,,
7,05/26/22,04:30:00  PM,10.10,16.90,,,,,
8,05/26/22,04:35:00  PM,10.57,15.70,,,,,
9,05/26/22,04:40:00  PM,10.75,15.34,,,,,
10,05/26/22,04:45:00  PM,10.75,15.38,,,,,
11,05/26/22,04:50:00  PM,10.84,15.48,,,,,
12,05/26/22,04:55:00  PM,10.84,15.52,,,,,
13,05/26/22,05:00:00  PM,10.75,15.56,,,,,
14,05/26/22,05:05:00  PM,10.71,15.56,,,,,
15,05/26/22,05:10:00  PM,10.69,15.54,,,,,
16,05/26/22,05:15:00  PM,10.71,15.54,,,,,
17,05/26/22,05:20:00  PM,10.68,15.56,,,,,
18,05/26/22,05:25:00  PM,10.72,15.66,,,,,
19,05/26/22,05:30:00  PM,10.72,15.72,,,,,
20,05/26/22,05:35:00  PM,10.69,15.76,,,,,
21,05/26/22,05:40:00  PM,10.64,15.76,,,,,
22,05/26/22,05:45:00  PM,10.70,15.74,,,,,
23,05/26/22,05:50:00  PM,10.68,15.72,,,,,
24,05/26/22,05:55:00  PM,10.81,15.70,,,,,
25,05/26/22,06:00:00  PM,10.78,15.72,,,,,
26,05/26/22,06:05:00  PM,10.79,15.72,,,,,
27,05/26/22,06:10:00  PM,10.79,15.72,,,,,
28,05/26/22,06:15:00  PM,10.77,15.72,,,,,
29,05/26/22,06:20:00  PM,10.70,15.72,,,,,
30,05/26/22,06:25:00  PM,10.70,15.72,,,,,
31,05/26/22,06:30:00  PM,10.81,15.70,,,,,
32,05/26/22,06:35:00  PM,10.84,15.68,,,,,
33,05/26/22,06:40:00  PM,10.69,15.68,,,,,
34,05/26/22,06:45:00  PM,10.68,15.58,,,,,
35,05/26/22,06:50:00  PM,10.68,15.58,,,,,
36,05/26/22,06:55:00  PM,10.72,15.56,,,,,
37,05/26/22,07:00:00  PM,10.76,15.60,,,,,
38,05/26/22,07:05:00  PM,10.63,15.60,,,,,
39,05/26/22,07:10:00  PM,10.69,15.58,,,,,
40,05/26/22,07:15:00  PM,10.69,15.56,,,,,
41,05/26/22,07:20:00  PM,10.67,15.56,,,,,
42,05/26/22,07:25:00  PM,10.68,15.54,,,,,
43,05/26/22,07:30:00  PM,10.70,15.50,,,,,
44,05/26/22,07:35:00  PM,10.63,15.48,,,,,
45,05/26/22,07:40:00  PM,10.61,15.38,,,,,
46,05/26/22,07:45:00  PM,10.68,15.30,,,,,
47,05/26/22,07:50:00  PM,10.64,15.28,,,,,
48,05/26/22,07:55:00  PM,10.60,15.28,,,,,
49,05/26/22,08:00:00  PM,10.61,15.26,,,,,
50,05/26/22,08:05:00  PM,10.64,15.26,,,,,
51,05/26/22,08:10:00  PM,10.60,15.24,,,,,
52,05/26/22,08:15:00  PM,10.61,15.24,,,,,
