7450-617633
OS REV: 1.05 Sensor Cal: 1582212504
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1653604140,+3.44,+16.176, +9.599,+0.978
1653604440,+3.44,+15.372, +9.740,+0.980
1653604740,+3.44,+15.192, +9.719,+0.981
1653605040,+3.44,+15.338, +9.689,+0.981
1653605340,+3.44,+15.466, +9.786,+0.982
1653605640,+3.44,+15.500, +9.665,+0.982
1653605940,+3.44,+15.526, +9.611,+0.982
1653606240,+3.44,+15.518, +9.599,+0.982
1653606540,+3.44,+15.483, +9.560,+0.982
1653606840,+3.44,+15.500, +9.526,+0.981
1653607140,+3.44,+15.509, +9.453,+0.981
1653607440,+3.44,+15.612, +9.495,+0.981
1653607740,+3.44,+15.689, +9.422,+0.982
1653608040,+3.44,+15.714, +9.434,+0.982
1653608340,+3.44,+15.706, +9.478,+0.981
1653608640,+3.44,+15.672, +9.448,+0.981
1653608940,+3.44,+15.663, +9.416,+0.981
1653609240,+3.44,+15.646, +9.460,+0.982
1653609540,+3.44,+15.663, +9.569,+0.981
1653609840,+3.44,+15.672, +9.541,+0.982
1653610140,+3.44,+15.680, +9.576,+0.982
1653610440,+3.44,+15.655, +9.573,+0.982
1653610740,+3.44,+15.655, +9.482,+0.981
1653611040,+3.44,+15.655, +9.432,+0.982
1653611340,+3.44,+15.646, +9.681,+0.981
1653611640,+3.44,+15.629, +9.557,+0.981
1653611940,+3.44,+15.578, +9.540,+0.982
1653612240,+3.44,+15.492, +9.495,+0.982
1653612540,+3.44,+15.492, +9.476,+0.982
1653612840,+3.44,+15.492, +9.431,+0.981
1653613140,+3.44,+15.509, +9.406,+0.981
1653613440,+3.44,+15.518, +9.390,+0.982
1653613740,+3.44,+15.509, +9.400,+0.982
1653614040,+3.44,+15.500, +9.419,+0.982
1653614340,+3.44,+15.500, +9.395,+0.982
1653614640,+3.44,+15.466, +9.407,+0.982
1653614940,+3.44,+15.440, +9.376,+0.982
1653615240,+3.44,+15.398, +9.401,+0.982
1653615540,+3.44,+15.338, +9.377,+0.982
1653615840,+3.44,+15.252, +9.369,+0.982
1653616140,+3.44,+15.192, +9.401,+0.981
1653616440,+3.44,+15.200, +9.408,+0.982
1653616740,+3.44,+15.183, +9.417,+0.982
1653617040,+3.44,+15.200, +9.385,+0.982
1653617340,+3.44,+15.166, +9.370,+0.982
1653617640,+3.44,+15.157, +9.360,+0.981
1653617940,+3.44,+15.140, +9.364,+0.982
1653618240,+3.44,+15.131, +9.350,+0.982
1653618540,+3.44,+15.123, +9.350,+0.982
1653618840,+3.44,+15.114, +9.349,+0.982
1653619140,+3.44,+15.080, +9.355,+0.981
1653619440,+3.44,+15.088, +9.348,+0.982
1653619740,+3.44,+15.063, +9.366,+0.982
1653620040,+3.44,+15.071, +9.360,+0.982
1653620340,+3.44,+15.045, +9.362,+0.982
1653620640,+3.44,+15.011, +9.361,+0.982
1653620940,+3.44,+14.994, +9.360,+0.982
1653621240,+3.44,+14.942, +9.378,+0.982
1653621540,+3.44,+14.951, +9.362,+0.981
1653621840,+3.45,+14.916, +9.379,+0.982
1653622140,+3.44,+14.908, +9.365,+0.981
1653622440,+3.44,+14.890, +9.368,+0.982
1653622740,+3.45,+14.847, +9.376,+0.982
1653623040,+3.45,+14.796, +9.381,+0.982
1653623340,+3.45,+14.787, +9.369,+0.981
1653623640,+3.45,+14.778, +9.367,+0.982
1653623940,+3.45,+14.735, +9.373,+0.981
1653624240,+3.45,+14.753, +9.370,+0.981
1653624540,+3.45,+14.744, +9.371,+0.982
1653624840,+3.45,+14.701, +9.366,+0.981
1653625140,+3.44,+14.658, +9.376,+0.981
1653625440,+3.44,+14.614, +9.380,+0.981
1653625740,+3.44,+14.580, +9.384,+0.981
1653626040,+3.44,+14.545, +9.397,+0.982
1653626340,+3.44,+14.528, +9.392,+0.982
1653626640,+3.44,+14.502, +9.395,+0.981
1653626940,+3.44,+14.433, +9.399,+0.982
1653627240,+3.44,+14.312, +9.402,+0.981
1653627540,+3.44,+14.234, +9.439,+0.982
1653627840,+3.44,+14.251, +9.426,+0.981
1653628140,+3.44,+14.234, +9.428,+0.982
1653628440,+3.44,+14.268, +9.412,+0.981
1653628740,+3.44,+14.303, +9.418,+0.982
1653629040,+3.44,+14.346, +9.412,+0.982
1653629340,+3.44,+14.329, +9.408,+0.982
1653629640,+3.44,+14.312, +9.407,+0.982
1653629940,+3.44,+14.251, +9.418,+0.982
1653630240,+3.44,+14.199, +9.424,+0.982
1653630540,+3.44,+14.164, +9.413,+0.982
1653630840,+3.44,+14.104, +9.441,+0.982
1653631140,+3.44,+14.077, +9.436,+0.982
1653631440,+3.44,+14.034, +9.425,+0.981
1653631740,+3.44,+14.008, +9.431,+0.982
1653632040,+3.44,+13.930, +9.429,+0.982
1653632340,+3.44,+13.834, +9.463,+0.982
1653632640,+3.44,+13.782, +9.468,+0.981
1653632940,+3.44,+13.799, +9.476,+0.982
1653633240,+3.44,+13.843, +9.464,+0.982
1653633540,+3.44,+13.878, +9.443,+0.982
1653633840,+3.44,+13.860, +9.445,+0.982
1653634140,+3.44,+13.808, +9.435,+0.981
1653634440,+3.44,+13.730, +9.452,+0.981
1653634740,+3.45,+13.703, +9.461,+0.981
1653635040,+3.45,+13.695, +9.461,+0.982
1653635340,+3.45,+13.686, +9.453,+0.981
1653635640,+3.45,+13.668, +9.456,+0.981
1653635940,+3.45,+13.625, +9.461,+0.982
1653636240,+3.45,+13.590, +9.463,+0.981
1653636540,+3.44,+13.546, +9.471,+0.982
1653636840,+3.44,+13.529, +9.479,+0.982
1653637140,+3.44,+13.485, +9.475,+0.981
1653637440,+3.44,+13.459, +9.474,+0.981
1653637740,+3.44,+13.406, +9.485,+0.982
1653638040,+3.44,+13.380, +9.482,+0.981
1653638340,+3.44,+13.354, +9.500,+0.981
1653638640,+3.44,+13.293, +9.504,+0.981
1653638940,+3.44,+13.284, +9.514,+0.982
1653639240,+3.44,+13.240, +9.521,+0.982
1653639540,+3.44,+13.205, +9.526,+0.982
1653639840,+3.44,+13.188, +9.521,+0.982
1653640140,+3.44,+13.188, +9.512,+0.981
1653640440,+3.44,+13.196, +9.510,+0.981
1653640740,+3.44,+13.205, +9.510,+0.982
1653641040,+3.44,+13.179, +9.516,+0.981
1653641340,+3.44,+13.196, +9.514,+0.981
1653641640,+3.44,+13.196, +9.511,+0.982
1653641940,+3.44,+13.188, +9.517,+0.982
1653642240,+3.44,+13.179, +9.519,+0.982
1653642540,+3.44,+13.152, +9.518,+0.981
1653642840,+3.44,+13.144, +9.528,+0.982
