sample_numb,date,time,do_conc_mg_l,temp_c,loggerID,month,season
1,2021-09-21,11:00:00,9.69,16.94,20078576,9,fall
2,2021-09-21,11:05:00,9.74,16.94,20078576,9,fall
3,2021-09-21,11:10:00,9.77,16.98,20078576,9,fall
4,2021-09-21,11:15:00,9.77,16.98,20078576,9,fall
5,2021-09-21,11:20:00,9.77,17,20078576,9,fall
6,2021-09-21,11:25:00,9.78,17.02,20078576,9,fall
7,2021-09-21,11:30:00,9.8,17.08,20078576,9,fall
8,2021-09-21,11:35:00,9.83,17.12,20078576,9,fall
9,2021-09-21,11:40:00,9.82,17.18,20078576,9,fall
10,2021-09-21,11:45:00,9.84,17.2,20078576,9,fall
11,2021-09-21,11:50:00,9.81,17.24,20078576,9,fall
12,2021-09-21,11:55:00,9.81,17.28,20078576,9,fall
13,2021-09-21,12:00:00,9.82,17.3,20078576,9,fall
14,2021-09-21,12:05:00,9.83,17.3,20078576,9,fall
15,2021-09-21,12:10:00,9.83,17.36,20078576,9,fall
16,2021-09-21,12:15:00,9.84,17.42,20078576,9,fall
17,2021-09-21,12:20:00,9.88,17.46,20078576,9,fall
18,2021-09-21,12:25:00,9.88,17.5,20078576,9,fall
19,2021-09-21,12:30:00,9.89,17.54,20078576,9,fall
20,2021-09-21,12:35:00,9.93,17.58,20078576,9,fall
21,2021-09-21,12:40:00,9.84,17.58,20078576,9,fall
22,2021-09-21,12:45:00,9.73,17.46,20078576,9,fall
23,2021-09-21,12:50:00,9.82,17.46,20078576,9,fall
24,2021-09-21,12:55:00,9.82,17.54,20078576,9,fall
25,2021-09-21,13:00:00,9.79,17.56,20078576,9,fall
26,2021-09-21,13:05:00,9.82,17.54,20078576,9,fall
27,2021-09-21,13:10:00,9.82,17.68,20078576,9,fall
28,2021-09-21,13:15:00,9.78,17.68,20078576,9,fall
29,2021-09-21,13:20:00,9.83,17.7,20078576,9,fall
30,2021-09-21,13:25:00,9.84,17.72,20078576,9,fall
31,2021-09-21,13:30:00,9.86,17.72,20078576,9,fall
32,2021-09-21,13:35:00,9.9,17.72,20078576,9,fall
33,2021-09-21,13:40:00,9.82,17.68,20078576,9,fall
34,2021-09-21,13:45:00,9.71,17.64,20078576,9,fall
35,2021-09-21,13:50:00,9.7,17.48,20078576,9,fall
36,2021-09-21,13:55:00,9.69,17.38,20078576,9,fall
37,2021-09-21,14:00:00,9.67,17.34,20078576,9,fall
38,2021-09-21,14:05:00,9.73,17.5,20078576,9,fall
39,2021-09-21,14:10:00,9.66,17.46,20078576,9,fall
40,2021-09-21,14:15:00,9.66,17.5,20078576,9,fall
41,2021-09-21,14:20:00,9.66,17.42,20078576,9,fall
42,2021-09-21,14:25:00,9.65,17.32,20078576,9,fall
43,2021-09-21,14:30:00,9.67,17.2,20078576,9,fall
44,2021-09-21,14:35:00,9.71,17.14,20078576,9,fall
45,2021-09-21,14:40:00,9.74,17.1,20078576,9,fall
46,2021-09-21,14:45:00,9.73,17.12,20078576,9,fall
47,2021-09-21,14:50:00,9.73,17.12,20078576,9,fall
48,2021-09-21,14:55:00,9.71,17.14,20078576,9,fall
49,2021-09-21,15:00:00,9.73,17.2,20078576,9,fall
50,2021-09-21,15:05:00,9.82,17.32,20078576,9,fall
51,2021-09-21,15:10:00,9.83,17.38,20078576,9,fall
52,2021-09-21,15:15:00,9.81,17.3,20078576,9,fall
53,2021-09-21,15:20:00,9.82,17.24,20078576,9,fall
54,2021-09-21,15:25:00,9.75,17.16,20078576,9,fall
55,2021-09-21,15:30:00,9.73,17.08,20078576,9,fall
56,2021-09-21,15:35:00,9.72,17.04,20078576,9,fall
57,2021-09-21,15:40:00,9.72,16.98,20078576,9,fall
