"Plot Title: 20078556-in lab"
"#","Date","Time, GMT-06:00","DO conc, mg/L (LGR S/N: 20078556, SEN S/N: 20078556)","Temp, °C (LGR S/N: 20078556, SEN S/N: 20078556)","Coupler Attached (LGR S/N: 20078556)","Coupler Detached (LGR S/N: 20078556)","Host Connected (LGR S/N: 20078556)","Stopped (LGR S/N: 20078556)","End Of File (LGR S/N: 20078556)"
1,05/10/22,04:00:00  PM,10.38,11.90,,,,,
2,05/10/22,04:05:00  PM,10.35,11.96,,,,,
3,05/10/22,04:10:00  PM,10.38,12.02,,,,,
4,05/10/22,04:15:00  PM,10.35,12.08,,,,,
5,05/10/22,04:20:00  PM,10.36,12.12,,,,,
6,05/10/22,04:25:00  PM,10.35,12.18,,,,,
7,05/10/22,04:30:00  PM,10.33,12.24,,,,,
8,05/10/22,04:35:00  PM,10.35,12.28,,,,,
9,05/10/22,04:40:00  PM,10.33,12.32,,,,,
10,05/10/22,04:45:00  PM,10.33,12.36,,,,,
11,05/10/22,04:50:00  PM,10.32,12.42,,,,,
12,05/10/22,04:55:00  PM,10.32,12.46,,,,,
13,05/10/22,05:00:00  PM,10.33,12.50,,,,,
14,05/10/22,05:05:00  PM,10.33,12.54,,,,,
15,05/10/22,05:10:00  PM,10.31,12.58,,,,,
16,05/10/22,05:15:00  PM,10.31,12.62,,,,,
17,05/10/22,05:20:00  PM,10.31,12.68,,,,,
18,05/10/22,05:25:00  PM,10.31,12.72,,,,,
19,05/10/22,05:30:00  PM,10.29,12.76,,,,,
20,05/10/22,05:35:00  PM,10.30,12.78,,,,,
21,05/10/22,05:40:00  PM,10.29,12.82,,,,,
22,05/10/22,05:45:00  PM,10.30,12.86,,,,,
23,05/10/22,05:50:00  PM,10.28,12.90,,,,,
24,05/10/22,05:55:00  PM,10.27,12.94,,,,,
25,05/10/22,06:00:00  PM,10.28,12.98,,,,,
26,05/10/22,06:05:00  PM,10.27,13.02,,,,,
27,05/10/22,06:10:00  PM,10.26,13.06,,,,,
28,05/10/22,06:15:00  PM,10.27,13.08,,,,,
29,05/10/22,06:20:00  PM,10.27,13.12,,,,,
30,05/10/22,06:25:00  PM,10.25,13.16,,,,,
31,05/10/22,06:30:00  PM,10.26,13.20,,,,,
32,05/10/22,06:35:00  PM,10.26,13.22,,,,,
33,05/10/22,06:40:00  PM,10.23,13.26,,,,,
34,05/10/22,06:45:00  PM,10.24,13.30,,,,,
35,05/10/22,06:50:00  PM,10.24,13.34,,,,,
36,05/10/22,06:55:00  PM,10.24,13.36,,,,,
37,05/10/22,07:00:00  PM,10.24,13.40,,,,,
38,05/10/22,07:05:00  PM,10.23,13.44,,,,,
39,05/10/22,07:10:00  PM,10.22,13.46,,,,,
40,05/10/22,07:15:00  PM,10.22,13.50,,,,,
41,05/10/22,07:20:00  PM,10.22,13.52,,,,,
42,05/10/22,07:25:00  PM,10.21,13.56,,,,,
43,05/10/22,07:30:00  PM,10.22,13.58,,,,,
44,05/10/22,07:35:00  PM,10.21,13.62,,,,,
45,05/10/22,07:40:00  PM,10.18,13.64,,,,,
46,05/10/22,07:45:00  PM,10.19,13.68,,,,,
47,05/10/22,07:50:00  PM,10.18,13.70,,,,,
48,05/10/22,07:55:00  PM,10.21,13.74,,,,,
49,05/10/22,08:00:00  PM,10.18,13.76,,,,,
50,05/10/22,08:05:00  PM,10.18,13.80,,,,,
51,05/10/22,08:10:00  PM,10.17,13.82,,,,,
52,05/10/22,08:15:00  PM,10.17,13.84,,,,,
53,05/10/22,08:20:00  PM,10.17,13.88,,,,,
54,05/10/22,08:25:00  PM,10.16,13.90,,,,,
55,05/10/22,08:30:00  PM,10.16,13.94,,,,,
56,05/10/22,08:35:00  PM,10.17,13.96,,,,,
57,05/10/22,08:40:00  PM,10.16,13.98,,,,,
58,05/10/22,08:45:00  PM,10.15,14.02,,,,,
59,05/10/22,08:50:00  PM,10.14,14.04,,,,,
60,05/10/22,08:55:00  PM,10.15,14.06,,,,,
61,05/10/22,09:00:00  PM,10.15,14.08,,,,,
62,05/10/22,09:05:00  PM,10.13,14.12,,,,,
63,05/10/22,09:10:00  PM,10.14,14.14,,,,,
64,05/10/22,09:15:00  PM,10.13,14.16,,,,,
65,05/10/22,09:20:00  PM,10.13,14.18,,,,,
66,05/10/22,09:25:00  PM,10.12,14.22,,,,,
67,05/10/22,09:30:00  PM,10.13,14.24,,,,,
68,05/10/22,09:35:00  PM,10.12,14.26,,,,,
69,05/10/22,09:40:00  PM,10.11,14.28,,,,,
70,05/10/22,09:45:00  PM,10.11,14.30,,,,,
71,05/10/22,09:50:00  PM,10.12,14.34,,,,,
72,05/10/22,09:55:00  PM,10.10,14.36,,,,,
73,05/10/22,10:00:00  PM,10.10,14.38,,,,,
74,05/10/22,10:05:00  PM,10.10,14.40,,,,,
75,05/10/22,10:10:00  PM,10.10,14.42,,,,,
76,05/10/22,10:15:00  PM,10.08,14.44,,,,,
77,05/10/22,10:20:00  PM,10.10,14.46,,,,,
78,05/10/22,10:25:00  PM,10.10,14.48,,,,,
79,05/10/22,10:30:00  PM,10.08,14.50,,,,,
80,05/10/22,10:35:00  PM,10.09,14.52,,,,,
81,05/10/22,10:40:00  PM,10.08,14.54,,,,,
82,05/10/22,10:45:00  PM,10.06,14.56,,,,,
83,05/10/22,10:50:00  PM,10.06,14.58,,,,,
84,05/10/22,10:55:00  PM,10.05,14.60,,,,,
85,05/10/22,11:00:00  PM,10.05,14.62,,,,,
86,05/10/22,11:05:00  PM,10.04,14.64,,,,,
87,05/10/22,11:10:00  PM,10.04,14.66,,,,,
88,05/10/22,11:15:00  PM,10.05,14.68,,,,,
89,05/10/22,11:20:00  PM,10.04,14.70,,,,,
90,05/10/22,11:25:00  PM,10.05,14.72,,,,,
91,05/10/22,11:30:00  PM,10.03,14.74,,,,,
