"Plot Title: 20342003-in lab"
"#","Date","Time, GMT-06:00","DO conc, mg/L (LGR S/N: 20342003, SEN S/N: 20342003)","Temp, °C (LGR S/N: 20342003, SEN S/N: 20342003)","Coupler Attached (LGR S/N: 20342003)","Host Connected (LGR S/N: 20342003)","Stopped (LGR S/N: 20342003)","End Of File (LGR S/N: 20342003)"
1,05/10/22,04:00:00  PM,10.46,11.94,,,,
2,05/10/22,04:05:00  PM,10.46,11.98,,,,
3,05/10/22,04:10:00  PM,10.45,12.06,,,,
4,05/10/22,04:15:00  PM,10.45,12.12,,,,
5,05/10/22,04:20:00  PM,10.45,12.16,,,,
6,05/10/22,04:25:00  PM,10.44,12.22,,,,
7,05/10/22,04:30:00  PM,10.45,12.26,,,,
8,05/10/22,04:35:00  PM,10.43,12.32,,,,
9,05/10/22,04:40:00  PM,10.44,12.36,,,,
10,05/10/22,04:45:00  PM,10.43,12.40,,,,
11,05/10/22,04:50:00  PM,10.43,12.46,,,,
12,05/10/22,04:55:00  PM,10.42,12.50,,,,
13,05/10/22,05:00:00  PM,10.42,12.54,,,,
14,05/10/22,05:05:00  PM,10.41,12.58,,,,
15,05/10/22,05:10:00  PM,10.42,12.62,,,,
16,05/10/22,05:15:00  PM,10.41,12.66,,,,
17,05/10/22,05:20:00  PM,10.40,12.70,,,,
18,05/10/22,05:25:00  PM,10.40,12.74,,,,
19,05/10/22,05:30:00  PM,10.40,12.80,,,,
20,05/10/22,05:35:00  PM,10.40,12.84,,,,
21,05/10/22,05:40:00  PM,10.40,12.88,,,,
22,05/10/22,05:45:00  PM,10.38,12.92,,,,
23,05/10/22,05:50:00  PM,10.38,12.96,,,,
24,05/10/22,05:55:00  PM,10.39,12.98,,,,
25,05/10/22,06:00:00  PM,10.36,13.02,,,,
26,05/10/22,06:05:00  PM,10.36,13.06,,,,
27,05/10/22,06:10:00  PM,10.36,13.10,,,,
28,05/10/22,06:15:00  PM,10.35,13.14,,,,
29,05/10/22,06:20:00  PM,10.36,13.16,,,,
30,05/10/22,06:25:00  PM,10.34,13.20,,,,
31,05/10/22,06:30:00  PM,10.34,13.24,,,,
32,05/10/22,06:35:00  PM,10.33,13.28,,,,
