7450-631150
OS REV: 1.05 Sensor Cal: 1582214720
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1652211720,+3.46,+20.513, +8.170,+0.986
1652212020,+3.46,+20.496, +8.174,+0.986
1652212320,+3.46,+20.304, +8.205,+0.987
1652212620,+3.46,+20.170, +8.241,+0.987
1652212920,+3.46,+20.053, +8.250,+0.986
1652213220,+3.46,+19.927, +8.273,+0.986
1652213520,+3.46,+19.852, +8.303,+0.988
1652213820,+3.46,+19.785, +8.298,+0.987
1652214120,+3.46,+19.701, +8.311,+0.986
1652214420,+3.46,+19.634, +8.330,+0.987
1652214720,+3.46,+19.592, +8.331,+0.987
1652215020,+3.47,+19.064, +7.940,+0.983
1652215320,+3.47,+12.369, +9.179,+0.987
1652215620,+3.47,+11.613, +9.148,+0.988
1652215920,+3.48,+11.425, +8.919,+0.988
1652216220,+3.48,+11.326, +9.065,+0.988
1652216520,+3.48,+11.353, +8.995,+0.988
1652216820,+3.47,+11.416, +9.020,+0.988
1652217120,+3.47,+11.479, +9.067,+0.988
1652217420,+3.47,+11.496, +9.126,+0.988
1652217720,+3.47,+11.577, +9.178,+0.989
1652218020,+3.47,+11.631, +9.229,+0.988
1652218320,+3.47,+11.666, +9.276,+0.988
1652218620,+3.47,+11.729, +9.294,+0.988
1652218920,+3.47,+11.791, +9.295,+0.988
1652219220,+3.47,+11.836, +9.311,+0.988
1652219520,+3.47,+11.889, +9.323,+0.988
1652219820,+3.47,+11.934, +9.335,+0.988
1652220120,+3.47,+11.987, +9.336,+0.988
1652220420,+3.47,+12.040, +9.350,+0.988
1652220720,+3.47,+12.103, +9.349,+0.988
1652221020,+3.47,+12.147, +9.352,+0.988
1652221320,+3.47,+12.218, +9.345,+0.988
1652221620,+3.47,+12.271, +9.338,+0.988
1652221920,+3.47,+12.307, +9.345,+0.988
1652222220,+3.47,+12.342, +9.341,+0.988
1652222520,+3.47,+12.395, +9.331,+0.988
1652222820,+3.47,+12.448, +9.324,+0.988
1652223120,+3.47,+12.501, +9.323,+0.988
1652223420,+3.47,+12.537, +9.316,+0.987
1652223720,+3.47,+12.581, +9.325,+0.988
