7450-631150
OS REV: 1.05 Sensor Cal: 1582214720
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1653603960,+3.48,+17.507, +8.890,+0.983
1653604260,+3.48,+15.671, +9.236,+0.986
1653604560,+3.48,+15.380, +9.264,+0.987
1653604860,+3.48,+15.328, +9.275,+0.987
1653605160,+3.48,+15.483, +9.356,+0.987
1653605460,+3.48,+15.534, +9.280,+0.988
1653605760,+3.48,+15.568, +9.242,+0.987
1653606060,+3.48,+15.568, +9.242,+0.987
1653606360,+3.48,+15.551, +9.243,+0.988
1653606660,+3.48,+15.517, +9.214,+0.987
1653606960,+3.48,+15.534, +9.199,+0.987
1653607260,+3.48,+15.577, +9.199,+0.987
1653607560,+3.48,+15.679, +9.172,+0.987
1653607860,+3.48,+15.748, +9.165,+0.987
1653608160,+3.49,+15.756, +9.157,+0.987
1653608460,+3.48,+15.714, +9.168,+0.988
1653608760,+3.48,+15.697, +9.165,+0.988
1653609060,+3.48,+15.671, +9.166,+0.987
1653609360,+3.48,+15.671, +9.248,+0.988
1653609660,+3.48,+15.654, +9.215,+0.987
1653609960,+3.48,+15.679, +9.233,+0.987
1653610260,+3.48,+15.679, +9.256,+0.988
1653610560,+3.48,+15.679, +9.212,+0.987
1653610860,+3.48,+15.688, +9.213,+0.988
1653611160,+3.48,+15.671, +9.343,+0.987
1653611460,+3.48,+15.654, +9.256,+0.987
1653611760,+3.48,+15.637, +9.247,+0.987
1653612060,+3.48,+15.637, +9.236,+0.987
1653612360,+3.48,+15.577, +9.229,+0.987
1653612660,+3.48,+15.543, +9.218,+0.987
1653612960,+3.48,+15.560, +9.214,+0.988
1653613260,+3.48,+15.560, +9.215,+0.987
1653613560,+3.48,+15.534, +9.221,+0.987
1653613860,+3.48,+15.517, +9.225,+0.987
1653614160,+3.48,+15.500, +9.224,+0.987
1653614460,+3.48,+15.483, +9.223,+0.987
1653614760,+3.48,+15.474, +9.221,+0.987
1653615060,+3.48,+15.414, +9.225,+0.987
1653615360,+3.48,+15.405, +9.231,+0.987
1653615660,+3.48,+15.371, +9.225,+0.987
1653615960,+3.48,+15.277, +9.244,+0.987
1653616260,+3.48,+15.260, +9.240,+0.987
1653616560,+3.48,+15.225, +9.253,+0.987
1653616860,+3.48,+15.225, +9.243,+0.987
1653617160,+3.48,+15.208, +9.247,+0.987
1653617460,+3.48,+15.199, +9.245,+0.987
1653617760,+3.48,+15.165, +9.257,+0.987
1653618060,+3.48,+15.157, +9.258,+0.987
1653618360,+3.48,+15.131, +9.262,+0.987
1653618660,+3.48,+15.122, +9.255,+0.987
1653618960,+3.48,+15.096, +9.259,+0.987
1653619260,+3.48,+15.088, +9.271,+0.988
1653619560,+3.48,+15.088, +9.269,+0.988
1653619860,+3.48,+15.096, +9.263,+0.987
1653620160,+3.48,+15.053, +9.276,+0.988
1653620460,+3.48,+15.045, +9.264,+0.987
1653620760,+3.48,+15.036, +9.268,+0.987
1653621060,+3.48,+15.002, +9.277,+0.987
1653621360,+3.48,+14.985, +9.272,+0.987
1653621660,+3.48,+14.976, +9.260,+0.987
1653621960,+3.48,+14.933, +9.286,+0.987
1653622260,+3.48,+14.916, +9.282,+0.987
1653622560,+3.48,+14.890, +9.288,+0.987
1653622860,+3.48,+14.855, +9.292,+0.987
1653623160,+3.48,+14.855, +9.284,+0.987
1653623460,+3.48,+14.786, +9.305,+0.987
1653623760,+3.48,+14.778, +9.302,+0.987
1653624060,+3.48,+14.761, +9.301,+0.987
1653624360,+3.48,+14.761, +9.293,+0.987
1653624660,+3.48,+14.735, +9.300,+0.987
1653624960,+3.48,+14.692, +9.309,+0.987
1653625260,+3.48,+14.657, +9.311,+0.987
1653625560,+3.48,+14.640, +9.315,+0.987
1653625860,+3.48,+14.579, +9.314,+0.987
1653626160,+3.47,+14.571, +9.318,+0.987
