date_mm_dd_yyyy,time_hh_mm_ss,time_fract_sec,site_name,chlorophyll_rfu,chlorophyll_ug_l,cond_m_s_cm,depth_m,f_dom_qsu,f_dom_rfu,n_lf_cond_m_s_cm,odo_percent_sat,odo_percent_local,odo_mg_l,pressure_psi_a,sal_psu,sp_cond_m_s_cm,bga_pc_rfu,bga_pc_ug_l,tds_mg_l,wiper_position_volt,temp_c,vertical_position_m,gps_latitude,gps_longitude,altitude_m,battery_v,cable_pwr_v,barometer_mm_hg
2021-05-08,15:57:43,0.0,L378*I,0.02,0.08,32.0,-0.575,12.41,4.23,35.5,76.1,76.1,6.90,-0.816,0.02,35.2,0.04,0.05,23,1.208,20.132,-0.567,0.00000,0.00000,0.0,0.00,12.0,727.7
2021-05-12,08:59:42,0.0,L378*D,0.01,0.07,35.5,-0.493,14.78,5.02,40.1,93.7,93.7,8.62,-0.700,0.02,39.7,0.03,0.03,26,1.211,19.408,-0.490,0.00000,0.00000,0.0,6.32,12.0,734.0
2021-05-24,09:49:35,0.0,L378*D,0.52,2.14,16.0,0.843,29.53,9.99,19.7,97.0,97.0,9.61,1.198,0.01,19.4,0.04,0.04,13,1.211,15.845,0.842,49.71320,-93.77618,395.6,6.34,12.0,722.4
2021-05-24,10:07:00,0.0,L378*D,0.44,1.82,16.0,0.753,30.31,10.25,19.6,90.5,90.5,8.94,1.070,0.01,19.3,0.02,0.02,13,1.210,15.969,0.752,49.71330,-93.77632,393.9,6.34,12.0,722.3
2021-05-24,10:22:30,0.0,L378*C,0.59,2.42,16.0,0.963,29.83,10.09,19.6,96.9,96.9,9.60,1.369,0.01,19.3,0.04,0.04,13,1.211,15.861,0.960,49.71342,-93.77653,395.7,6.33,12.0,723.0
2021-05-24,10:32:34,0.0,L378*D,0.66,2.72,16.0,0.841,29.53,9.99,19.6,97.3,97.3,9.64,1.194,0.01,19.4,-0.01,0.00,13,1.211,15.794,0.846,49.71347,-93.77684,397.3,6.33,12.0,723.1
2021-05-24,10:41:54,0.0,L378*E,0.73,3.00,15.9,0.796,29.72,10.06,19.7,96.4,96.4,9.58,1.131,0.01,19.4,0.04,0.05,13,1.211,15.705,0.797,49.71355,-93.77719,398.6,6.33,12.0,723.2
2021-05-24,10:51:41,0.0,L378*F,0.49,2.03,16.0,0.814,29.93,10.13,19.7,95.9,95.9,9.48,1.157,0.01,19.4,0.04,0.04,13,1.211,15.890,0.837,49.71345,-93.77608,396.9,6.32,12.0,722.9
2021-05-24,11:01:19,0.0,L378*G,0.54,2.24,16.0,0.720,29.76,10.07,19.7,97.1,97.1,9.62,1.022,0.01,19.4,0.01,0.02,13,1.210,15.811,0.712,49.71355,-93.77631,395.0,6.32,12.0,722.9
2021-05-24,11:10:47,0.0,L378*H,0.54,2.22,15.9,0.849,29.88,10.11,19.6,98.5,98.5,9.77,1.206,0.01,19.4,0.03,0.04,13,1.211,15.760,0.851,49.71359,-93.77654,397.7,6.32,12.0,722.7
2021-05-24,11:19:20,0.0,L378*I,0.47,1.92,16.0,0.759,29.93,10.13,19.6,97.8,97.8,9.69,1.078,0.01,19.4,0.04,0.04,13,1.211,15.796,0.696,49.71376,-93.77679,396.7,6.32,12.0,722.9
2021-05-31,10:01:28,0.0,L378*A,0.12,0.50,16.0,0.928,26.20,8.87,19.9,96.2,96.2,9.63,1.318,0.01,19.6,0.05,0.05,13,1.211,15.361,0.952,49.71318,-93.77616,392.6,6.31,12.0,729.7
2021-05-31,10:36:05,0.0,L378*B,0.24,1.00,16.0,0.934,26.96,9.13,19.9,97.5,97.5,9.74,1.327,0.01,19.6,0.03,0.03,13,1.211,15.423,0.933,49.71330,-93.77628,395.9,6.32,11.9,729.8
2021-05-31,11:05:57,0.0,L378*C,0.19,0.79,16.1,0.925,26.40,8.94,19.9,96.6,96.6,9.63,1.314,0.01,19.6,0.02,0.03,13,1.209,15.577,0.928,49.71341,-93.77655,393.7,6.31,11.9,729.7
2021-05-31,11:25:48,0.0,L378*D,0.20,0.85,16.1,0.943,26.59,9.00,19.9,97.8,97.8,9.76,1.340,0.01,19.6,0.04,0.04,13,1.209,15.449,0.940,49.71348,-93.77681,397.5,6.32,12.0,729.8
2021-05-31,11:26:23,0.0,L378*D,0.22,0.91,16.1,0.945,26.63,9.01,19.9,97.8,97.8,9.78,1.342,0.01,19.7,0.01,0.02,13,1.209,15.421,0.961,49.71348,-93.77680,396.9,6.32,12.0,729.8
2021-05-31,11:47:28,0.0,L378*E,0.13,0.56,16.2,0.923,25.94,8.78,19.7,92.7,92.7,9.12,1.312,0.01,19.5,0.02,0.02,13,1.209,16.156,0.931,49.71355,-93.77716,394.3,6.31,12.0,729.7
2021-05-31,11:59:22,0.0,L378*F,0.23,0.95,16.1,0.903,26.16,8.86,19.9,96.1,96.1,9.54,1.283,0.01,19.6,0.03,0.03,13,1.209,15.685,0.939,49.71346,-93.77605,396.3,6.32,12.0,729.6
2021-05-31,12:10:22,0.0,L378*G,0.16,0.67,16.2,0.865,25.89,8.76,19.8,91.9,91.9,9.07,1.228,0.01,19.5,0.02,0.03,13,1.209,15.983,0.907,49.71356,-93.77628,397.5,6.31,12.0,729.7
2021-05-31,12:18:21,0.0,L378*H,0.11,0.47,16.1,0.895,26.35,8.92,19.7,92.4,92.4,9.12,1.271,0.01,19.5,0.04,0.04,13,1.209,15.988,0.941,49.71359,-93.77650,396.7,6.32,12.0,729.6
2021-05-31,12:27:10,0.0,L378*I,0.11,0.48,16.2,0.885,26.28,8.90,19.7,94.5,94.5,9.29,1.257,0.01,19.5,0.02,0.02,13,1.209,16.171,0.935,49.71376,-93.77682,397.2,6.32,12.0,729.6
2021-06-07,09:46:14,0.0,L378*B,0.11,0.46,18.9,0.679,21.89,7.42,20.2,97.5,97.5,8.55,0.964,0.01,20.1,0.02,0.02,13,1.209,21.836,0.679,49.71331,-93.77636,392.0,6.30,11.9,722.1
2021-06-07,09:58:52,0.0,L378*H,0.17,0.73,18.8,0.828,21.51,7.29,20.1,98.8,98.8,8.65,1.175,0.01,20.0,0.02,0.02,13,1.210,21.922,0.811,49.71359,-93.77653,398.6,6.32,12.0,722.3
2021-06-07,10:11:55,0.0,L378*F,0.20,0.85,16.6,0.493,21.63,7.33,17.6,94.1,94.1,8.20,0.700,0.01,17.6,0.16,0.17,11,1.210,22.158,0.647,49.71345,-93.77611,394.1,6.32,11.9,722.2
2021-06-07,10:23:05,0.0,L378*A,0.13,0.53,18.9,0.770,21.56,7.31,20.2,99.3,99.3,8.68,1.092,0.01,20.1,0.00,0.01,13,1.210,21.970,0.769,49.71318,-93.77621,397.5,6.32,11.9,722.1
2021-06-07,10:35:35,0.0,L378*E,0.13,0.54,18.9,0.739,21.39,7.25,20.1,99.6,99.6,8.68,1.049,0.01,20.0,0.05,0.06,13,1.210,22.133,0.733,49.71355,-93.77719,396.5,6.32,12.0,722.2
2021-06-07,10:48:13,0.0,L378*C,0.10,0.44,18.9,0.814,21.77,7.38,20.1,99.1,99.1,8.64,1.155,0.01,19.9,0.02,0.03,13,1.210,22.129,0.815,49.71339,-93.77657,398.4,6.32,12.0,722.1
2021-06-07,11:00:45,0.0,L378*I,0.12,0.51,18.9,0.846,21.63,7.33,20.0,99.4,99.4,8.64,1.201,0.01,19.9,0.01,0.02,13,1.210,22.339,0.853,49.71375,-93.77684,396.6,6.32,12.0,722.0
2021-06-07,11:12:13,0.0,L378*G,0.12,0.49,18.9,0.892,21.67,7.34,20.2,99.3,99.3,8.66,1.265,0.01,20.0,0.04,0.05,13,1.210,22.116,0.886,49.71353,-93.77627,395.5,6.32,12.0,722.2
2021-06-07,11:24:10,0.0,L378*D,0.15,0.62,18.9,0.868,21.80,7.39,20.0,98.3,98.3,8.53,1.232,0.01,19.9,0.03,0.03,13,1.210,22.379,0.870,49.71349,-93.77682,394.4,6.32,12.0,722.4
2021-06-14,09:06:37,0.0,L378*B,0.34,1.41,18.3,0.922,21.68,7.35,20.1,98.2,98.2,8.81,1.308,0.01,20.0,0.03,0.03,13,1.210,20.651,0.914,49.71329,-93.77630,396.4,6.30,12.0,729.0
2021-06-14,09:07:51,0.0,L378*B,0.41,1.71,18.3,0.918,21.72,7.36,20.1,98.4,98.4,8.83,1.302,0.01,20.0,0.03,0.03,13,1.210,20.654,0.903,49.71331,-93.77632,399.5,6.30,12.0,729.0
2021-06-14,09:45:18,0.0,L378*H,0.25,1.03,18.3,0.933,21.40,7.26,20.0,99.3,99.3,8.90,1.324,0.01,19.9,0.04,0.04,13,1.210,20.724,0.931,49.71361,-93.77653,395.5,6.31,12.0,729.3
2021-06-14,10:18:06,0.0,L378*F,0.33,1.37,18.4,0.932,21.25,7.20,20.1,99.6,99.6,8.90,1.324,0.01,19.9,0.02,0.03,13,1.210,20.848,0.938,49.71344,-93.77612,394.2,6.31,12.0,729.4
2021-06-14,10:41:25,0.0,L378*A,0.32,1.31,18.4,0.932,20.98,7.11,20.1,98.6,98.6,8.81,1.323,0.01,20.0,0.04,0.04,13,1.210,20.869,0.958,49.71320,-93.77624,397.8,6.30,11.9,729.6
2021-06-14,11:02:23,0.0,L378*E,0.11,0.48,18.5,0.932,21.22,7.19,20.2,97.5,97.5,8.70,1.322,0.01,20.0,0.02,0.02,13,1.210,20.928,0.930,49.71360,-93.77724,398.6,6.30,12.0,729.7
2021-06-14,11:25:36,0.0,L378*C,0.16,0.65,18.5,0.942,21.21,7.19,20.1,97.2,97.2,8.66,1.337,0.01,20.0,0.02,0.03,13,1.210,21.058,0.951,49.71342,-93.77663,398.3,6.30,12.0,729.9
2021-06-14,11:52:03,0.0,L378*I,0.18,0.75,18.4,0.945,21.25,7.20,20.0,100.6,100.6,8.96,1.341,0.01,19.9,0.04,0.05,13,1.210,21.073,0.958,49.71371,-93.77693,396.1,6.29,12.0,729.9
2021-06-14,12:15:50,0.0,L378*G,0.19,0.81,18.6,0.948,20.26,6.87,20.1,99.1,99.1,8.78,1.345,0.01,20.0,0.09,0.10,13,1.210,21.290,0.953,49.71355,-93.77637,398.5,6.30,12.0,730.0
2021-06-14,12:39:44,0.0,L378*D,0.15,0.63,18.6,0.954,21.13,7.16,20.1,98.6,98.6,8.75,1.354,0.01,20.0,0.06,0.06,13,1.210,21.256,0.962,49.71351,-93.77689,397.1,6.29,12.0,730.0
