SampleNumber,Site,ParamAnalysisDateTime,Param,Result,Results_Units,Instrument,Results_Commnt
2020050602-10,239 LA CB,,PAR - 10m,,µmol/m2/s,,
2020050602-10,239 LA CB,05/06/2020 08:08,PAR - 0.5m,611,µmol/m2/s,PAR 7280,
2020050602-10,239 LA CB,05/06/2020 08:08,PAR - 1m,486,µmol/m2/s,PAR 7280,
2020050602-10,239 LA CB,05/06/2020 08:08,PAR - 2m,184,µmol/m2/s,PAR 7280,
2020050602-10,239 LA CB,05/06/2020 08:08,PAR - 3m,95,µmol/m2/s,PAR 7280,
2020050602-10,239 LA CB,05/06/2020 08:08,PAR - 4m,42,µmol/m2/s,PAR 7280,
2020050602-10,239 LA CB,05/06/2020 08:08,PAR - 5m,19,µmol/m2/s,PAR 7280,
2020050602-10,239 LA CB,05/06/2020 08:08,PAR - 6m,9.5,µmol/m2/s,PAR 7280,
2020050602-10,239 LA CB,05/06/2020 08:08,PAR - 7m,,µmol/m2/s,PAR 2045,
2020050602-10,239 LA CB,05/06/2020 08:08,PAR - 8m,,µmol/m2/s,PAR 2045,
2020050602-10,239 LA CB,05/06/2020 08:08,PAR - 9m,,µmol/m2/s,PAR 2045,
2020050602-10,239 LA CB,05/06/2020 08:08,PAR - Air 1,1386,µmol/m2/s,PAR 7280,
2020050602-10,239 LA CB,05/06/2020 08:08,PAR - Air 2,1399,µmol/m2/s,PAR 7280,
2020050603-05,373 LA CB,,PAR - 11m,,µmol/m2/s,,
2020050603-05,373 LA CB,,PAR - 12m,,µmol/m2/s,,
2020050603-05,373 LA CB,,PAR - 13m,,µmol/m2/s,,
2020050603-05,373 LA CB,,PAR - 14m,,µmol/m2/s,,
2020050603-05,373 LA CB,,PAR - 15m,,µmol/m2/s,,
2020050603-05,373 LA CB,,PAR - 16m,,µmol/m2/s,,
2020050603-05,373 LA CB,05/06/2020 08:54,PAR - 0.5m,1164,µmol/m2/s,PAR 7280,
2020050603-05,373 LA CB,05/06/2020 08:54,PAR - 10m,10.4,µmol/m2/s,PAR 7280,
2020050603-05,373 LA CB,05/06/2020 08:54,PAR - 1m,924,µmol/m2/s,PAR 7280,
2020050603-05,373 LA CB,05/06/2020 08:54,PAR - 2m,507,µmol/m2/s,PAR 7280,
2020050603-05,373 LA CB,05/06/2020 08:54,PAR - 3m,304,µmol/m2/s,PAR 7280,
2020050603-05,373 LA CB,05/06/2020 08:54,PAR - 4m,178,µmol/m2/s,PAR 7280,
2020050603-05,373 LA CB,05/06/2020 08:54,PAR - 5m,112,µmol/m2/s,PAR 7280,
2020050603-05,373 LA CB,05/06/2020 08:54,PAR - 6m,65.3,µmol/m2/s,PAR 7280,
2020050603-05,373 LA CB,05/06/2020 08:54,PAR - 7m,46.6,µmol/m2/s,PAR 7280,
2020050603-05,373 LA CB,05/06/2020 08:54,PAR - 8m,28.9,µmol/m2/s,PAR 7280,
2020050603-05,373 LA CB,05/06/2020 08:54,PAR - 9m,16.8,µmol/m2/s,PAR 7280,
2020050603-05,373 LA CB,05/06/2020 08:54,PAR - Air 1,1577,µmol/m2/s,PAR 7280,
2020050603-05,373 LA CB,05/06/2020 08:54,PAR - Air 2,1555,µmol/m2/s,PAR 7280,
2020050604-04,260 LA CB,,PAR - 10m,,µmol/m2/s,,
2020050604-04,260 LA CB,,PAR - 11m,,µmol/m2/s,,
2020050604-04,260 LA CB,,PAR - 8m,,µmol/m2/s,,
2020050604-04,260 LA CB,,PAR - 9m,,µmol/m2/s,,
2020050604-04,260 LA CB,05/06/2020 00:00,PAR - 0.5m,1140,µmol/m2/s,PAR 2045,
2020050604-04,260 LA CB,05/06/2020 00:00,PAR - 1m,647.4,µmol/m2/s,PAR 2045,
2020050604-04,260 LA CB,05/06/2020 00:00,PAR - 2m,245,µmol/m2/s,PAR 2045,
2020050604-04,260 LA CB,05/06/2020 00:00,PAR - 3m,119.2,µmol/m2/s,PAR 2045,
2020050604-04,260 LA CB,05/06/2020 00:00,PAR - 4m,53.34,µmol/m2/s,PAR 2045,
2020050604-04,260 LA CB,05/06/2020 00:00,PAR - 5m,27.66,µmol/m2/s,PAR 2045,
2020050604-04,260 LA CB,05/06/2020 00:00,PAR - 6m,14.13,µmol/m2/s,PAR 2045,
2020050604-04,260 LA CB,05/06/2020 00:00,PAR - 7m,6.46,µmol/m2/s,PAR 2045,
2020050604-04,260 LA CB,05/06/2020 00:00,PAR - Air 1,1550,µmol/m2/s,PAR 2045,
2020050604-04,260 LA CB,05/06/2020 00:00,PAR - Air 2,1601,µmol/m2/s,PAR 2045,
2020050605-04,303 LA CB,05/06/2020 01:00,PAR - 0.5m,742,µmol/m2/s,PAR 7280,
2020050605-04,303 LA CB,05/06/2020 01:00,PAR - 1m,415,µmol/m2/s,PAR 7280,
2020050605-04,303 LA CB,05/06/2020 01:00,PAR - 2m,190,µmol/m2/s,PAR 7280,
2020050605-04,303 LA CB,05/06/2020 01:00,PAR - 3m,126,µmol/m2/s,PAR 7280,depth was 2.5 m not 3 m (lake is shallow)
2020050605-04,303 LA CB,05/06/2020 01:00,PAR - Air 1,1420,µmol/m2/s,PAR 7280,
2020050605-04,303 LA CB,05/06/2020 01:00,PAR - Air 2,1371,µmol/m2/s,PAR 7280,
2020050606-05,304 LA CB,,PAR - 5m,,µmol/m2/s,,
2020050606-05,304 LA CB,,PAR - 6m,,µmol/m2/s,,
2020050606-05,304 LA CB,05/06/2020 01:00,PAR - 0.5m,754,µmol/m2/s,PAR 7280,
2020050606-05,304 LA CB,05/06/2020 01:00,PAR - 1m,422,µmol/m2/s,PAR 7280,
2020050606-05,304 LA CB,05/06/2020 01:00,PAR - 2m,125,µmol/m2/s,PAR 7280,
2020050606-05,304 LA CB,05/06/2020 01:00,PAR - 3m,22.3,µmol/m2/s,PAR 7280,
2020050606-05,304 LA CB,05/06/2020 01:00,PAR - 4m,2.68,µmol/m2/s,PAR 7280,
2020050606-05,304 LA CB,05/06/2020 01:00,PAR - Air 1,1600,µmol/m2/s,PAR 7280,
2020050606-05,304 LA CB,05/06/2020 01:00,PAR - Air 2,1567,µmol/m2/s,PAR 7280,
2020050702-04,227 LA CB,,PAR - 5m,,µmol/m2/s,,
2020050702-04,227 LA CB,,PAR - 6m,,µmol/m2/s,,
2020050702-04,227 LA CB,,PAR - 7m,,µmol/m2/s,,
2020050702-04,227 LA CB,,PAR - 8m,,µmol/m2/s,,
2020050702-04,227 LA CB,05/07/2020 00:00,PAR - 0.5m,865,µmol/m2/s,PAR 2045,
2020050702-04,227 LA CB,05/07/2020 00:00,PAR - 1m,217.4,µmol/m2/s,PAR 2045,
2020050702-04,227 LA CB,05/07/2020 00:00,PAR - 2m,52.21,µmol/m2/s,PAR 2045,
2020050702-04,227 LA CB,05/07/2020 00:00,PAR - 3m,10.53,µmol/m2/s,PAR 2045,
2020050702-04,227 LA CB,05/07/2020 00:00,PAR - 4m,1.2,µmol/m2/s,PAR 2045,
2020050702-04,227 LA CB,05/07/2020 00:00,PAR - Air 1,1168,µmol/m2/s,PAR 2045,
2020050702-04,227 LA CB,05/07/2020 00:00,PAR - Air 2,1333,µmol/m2/s,PAR 2045,
2020050703-05,378 LA CB,,PAR - 10m,,,,
2020050703-05,378 LA CB,,PAR - 11m,,,,
2020050703-05,378 LA CB,,PAR - 6m,,,,
2020050703-05,378 LA CB,,PAR - 7m,,,,
2020050703-05,378 LA CB,,PAR - 8m,,,,
2020050703-05,378 LA CB,,PAR - 9m,,,,
2020050703-05,378 LA CB,05/07/2020 00:00,PAR - 0.5m,430,,PAR 7280,
2020050703-05,378 LA CB,05/07/2020 00:00,PAR - 1m,303,,PAR 7280,
2020050703-05,378 LA CB,05/07/2020 00:00,PAR - 2m,118,,PAR 7280,
2020050703-05,378 LA CB,05/07/2020 00:00,PAR - 3m,52,,PAR 7280,
2020050703-05,378 LA CB,05/07/2020 00:00,PAR - 4m,19,,PAR 7280,
2020050703-05,378 LA CB,05/07/2020 00:00,PAR - 5m,8.6,,PAR 7280,
2020050703-05,378 LA CB,05/07/2020 00:00,PAR - Air 1,1170,,PAR 7280,
2020050703-05,378 LA CB,05/07/2020 00:00,PAR - Air 2,1164,,PAR 7280,
2020050705-04,223 LA CB,,PAR - 10m,,µmol/m2/s,,
2020050705-04,223 LA CB,,PAR - 11m,,µmol/m2/s,,
2020050705-04,223 LA CB,,PAR - 12m,,µmol/m2/s,,
2020050705-04,223 LA CB,,PAR - 13m,,µmol/m2/s,,
2020050705-04,223 LA CB,,PAR - 14m,,µmol/m2/s,,
2020050705-04,223 LA CB,,PAR - 8m,,µmol/m2/s,,
2020050705-04,223 LA CB,,PAR - 9m,,µmol/m2/s,,
2020050705-04,223 LA CB,05/07/2020 00:00,PAR - 0.5m,900,µmol/m2/s,PAR 7280,
2020050705-04,223 LA CB,05/07/2020 00:00,PAR - 1m,770,µmol/m2/s,PAR 7280,
2020050705-04,223 LA CB,05/07/2020 00:00,PAR - 2m,324,µmol/m2/s,PAR 7280,
2020050705-04,223 LA CB,05/07/2020 00:00,PAR - 3m,185,µmol/m2/s,PAR 7280,
2020050705-04,223 LA CB,05/07/2020 00:00,PAR - 4m,108,µmol/m2/s,PAR 7280,
2020050705-04,223 LA CB,05/07/2020 00:00,PAR - 5m,57,µmol/m2/s,PAR 7280,
2020050705-04,223 LA CB,05/07/2020 00:00,PAR - 6m,32,µmol/m2/s,PAR 7280,
2020050705-04,223 LA CB,05/07/2020 00:00,PAR - 7m,16.6,µmol/m2/s,PAR 7280,
2020050705-04,223 LA CB,05/07/2020 00:00,PAR - Air 1,1670,µmol/m2/s,PAR 7280,
2020050705-04,223 LA CB,05/07/2020 00:00,PAR - Air 2,1757,µmol/m2/s,PAR 7280,
2020050706-05,224 LA CB,,PAR - 14m,,µmol/m2/s,PAR 2045,
2020050706-05,224 LA CB,,PAR - 15m,,µmol/m2/s,PAR 2045,
2020050706-05,224 LA CB,,PAR - 16m,,µmol/m2/s,PAR 2045,
2020050706-05,224 LA CB,,PAR - 17m,,µmol/m2/s,PAR 2045,
2020050706-05,224 LA CB,,PAR - 18m,,µmol/m2/s,PAR 2045,
2020050706-05,224 LA CB,05/07/2020 00:00,PAR - 0.5m,1668,µmol/m2/s,PAR 2045,
2020050706-05,224 LA CB,05/07/2020 00:00,PAR - 10m,47.22,µmol/m2/s,PAR 2045,
2020050706-05,224 LA CB,05/07/2020 00:00,PAR - 11m,31.75,µmol/m2/s,PAR 2045,
2020050706-05,224 LA CB,05/07/2020 00:00,PAR - 12m,22.03,µmol/m2/s,PAR 2045,
2020050706-05,224 LA CB,05/07/2020 00:00,PAR - 13m,15.3,µmol/m2/s,PAR 2045,
2020050706-05,224 LA CB,05/07/2020 00:00,PAR - 1m,1107,µmol/m2/s,PAR 2045,
2020050706-05,224 LA CB,05/07/2020 00:00,PAR - 2m,674.3,µmol/m2/s,PAR 2045,
2020050706-05,224 LA CB,05/07/2020 00:00,PAR - 3m,520.6,µmol/m2/s,PAR 2045,
2020050706-05,224 LA CB,05/07/2020 00:00,PAR - 4m,332.3,µmol/m2/s,PAR 2045,
2020050706-05,224 LA CB,05/07/2020 00:00,PAR - 5m,261.9,µmol/m2/s,PAR 2045,
2020050706-05,224 LA CB,05/07/2020 00:00,PAR - 6m,180.2,µmol/m2/s,PAR 2045,
2020050706-05,224 LA CB,05/07/2020 00:00,PAR - 7m,127.3,µmol/m2/s,PAR 2045,
