united_code,lake,date,year,month,jd,time,depth,light_percent,light_situ,log_e_light,flag
114_1986-04-30,114,1986-04-30,1986,4,120,10:30:00,0,100,200,5.298317367,yes
114_1986-04-30,114,1986-04-30,1986,4,120,10:30:00,0.5,52.49,105,4.65396035,no
114_1986-04-30,114,1986-04-30,1986,4,120,10:30:00,1,30,60,4.094344562,no
114_1986-04-30,114,1986-04-30,1986,4,120,10:30:00,2,13.5,27,3.295836866,no
114_1986-04-30,114,1986-04-30,1986,4,120,10:30:00,3,6.7,13.4,2.595254707,no
114_1986-04-30,114,1986-04-30,1986,4,120,10:30:00,4,3.6,7.2,1.974081026,no
114_1986-05-05,114,1986-05-05,1986,5,125,11:05:00,0,100,111.94,4.717963013,yes
114_1986-05-05,114,1986-05-05,1986,5,125,11:05:00,0.5,48.24,54,3.988984047,no
114_1986-05-05,114,1986-05-05,1986,5,125,11:05:00,1,27.69,31,3.433987204,no
114_1986-05-05,114,1986-05-05,1986,5,125,11:05:00,2,15.63,17.5,2.862200881,no
114_1986-05-05,114,1986-05-05,1986,5,125,11:05:00,3,8.93,10,2.302585093,no
114_1986-05-05,114,1986-05-05,1986,5,125,11:05:00,4,5.09,5.7,1.740466175,no
114_1986-05-19,114,1986-05-19,1986,5,139,10:15:00,0,100,115.67,4.750741309,yes
114_1986-05-19,114,1986-05-19,1986,5,139,10:15:00,0.5,62.24,72,4.276666119,no
114_1986-05-19,114,1986-05-19,1986,5,139,10:15:00,1,37.17,43,3.761200116,no
114_1986-05-19,114,1986-05-19,1986,5,139,10:15:00,2,19.01,22,3.091042453,no
114_1986-05-19,114,1986-05-19,1986,5,139,10:15:00,3,11.06,12.8,2.549445171,no
114_1986-05-19,114,1986-05-19,1986,5,139,10:15:00,4,5.71,6.6,1.887069649,no
114_1986-06-04,114,1986-06-04,1986,6,155,11:30:00,0,100,300,5.703782475,no
114_1986-06-04,114,1986-06-04,1986,6,155,11:30:00,0.5,64.33,193,5.262690189,no
114_1986-06-04,114,1986-06-04,1986,6,155,11:30:00,1,31.66,95,4.553876892,no
114_1986-06-04,114,1986-06-04,1986,6,155,11:30:00,2,10.03,30.1,3.404525172,no
114_1986-06-04,114,1986-06-04,1986,6,155,11:30:00,3,4.9,14.7,2.687847494,no
114_1986-06-04,114,1986-06-04,1986,6,155,11:30:00,4,2.2,6.6,1.887069649,no
114_1986-06-11,114,1986-06-11,1986,6,162,11:10:00,0,100,440,6.086774727,yes
114_1986-06-11,114,1986-06-11,1986,6,162,11:10:00,0.5,43.18,190,5.247024072,no
114_1986-06-11,114,1986-06-11,1986,6,162,11:10:00,1,22.49,99,4.59511985,no
114_1986-06-11,114,1986-06-11,1986,6,162,11:10:00,2,9.75,42.9,3.758871826,no
114_1986-06-11,114,1986-06-11,1986,6,162,11:10:00,3,6.18,27.2,3.303216973,no
114_1986-06-11,114,1986-06-11,1986,6,162,11:10:00,4,4.3,18.9,2.939161922,yes
114_1986-06-14,114,1986-06-14,1986,6,165,9:00:00,0,100,78,4.356708827,yes
114_1986-06-14,114,1986-06-14,1986,6,165,9:00:00,0.5,48.71,38,3.63758616,no
114_1986-06-14,114,1986-06-14,1986,6,165,9:00:00,1,25,19.5,2.970414466,no
114_1986-06-14,114,1986-06-14,1986,6,165,9:00:00,2,10.64,8.3,2.116255515,no
114_1986-06-14,114,1986-06-14,1986,6,165,9:00:00,3,5.64,4.4,1.481604541,no
114_1986-06-14,114,1986-06-14,1986,6,165,9:00:00,4,3.08,2.4,0.875468737,no
114_1986-06-30,114,1986-06-30,1986,6,181,9:45:00,0,100,291,5.673323267,yes
114_1986-06-30,114,1986-06-30,1986,6,181,9:45:00,0.5,48.79,142,4.955827058,no
114_1986-06-30,114,1986-06-30,1986,6,181,9:45:00,1,26.11,76,4.33073334,no
114_1986-06-30,114,1986-06-30,1986,6,181,9:45:00,2,11.23,32.7,3.487375078,no
114_1986-06-30,114,1986-06-30,1986,6,181,9:45:00,3,6.6,19.2,2.954910279,no
114_1986-06-30,114,1986-06-30,1986,6,181,9:45:00,4,3.06,8.9,2.186051277,no
114_1986-07-14,114,1986-07-14,1986,7,195,10:58:00,0,100,202,5.308267697,no
114_1986-07-14,114,1986-07-14,1986,7,195,10:58:00,0.5,60.89,123,4.812184355,no
114_1986-07-14,114,1986-07-14,1986,7,195,10:58:00,1,47.02,95,4.553876892,yes
114_1986-07-14,114,1986-07-14,1986,7,195,10:58:00,2,12.37,25,3.218875825,no
114_1986-07-14,114,1986-07-14,1986,7,195,10:58:00,3,5.45,11,2.397895273,no
114_1986-07-14,114,1986-07-14,1986,7,195,10:58:00,4,2.72,5.5,1.704748092,no
114_1986-07-28,114,1986-07-28,1986,7,209,11:45:00,0,100,638,6.458338283,yes
114_1986-07-28,114,1986-07-28,1986,7,209,11:45:00,0.5,40.59,259,5.556828062,no
114_1986-07-28,114,1986-07-28,1986,7,209,11:45:00,1,27.58,176,5.170483995,no
114_1986-07-28,114,1986-07-28,1986,7,209,11:45:00,2,9.8,62.5,4.135166557,no
114_1986-07-28,114,1986-07-28,1986,7,209,11:45:00,3,3.92,25,3.218875825,no
114_1986-07-28,114,1986-07-28,1986,7,209,11:45:00,4,1.57,10,2.302585093,no
114_1986-08-11,114,1986-08-11,1986,8,223,10:40:00,0,100,60.8,4.107589789,yes
114_1986-08-11,114,1986-08-11,1986,8,223,10:40:00,0.5,54.76,33.3,3.505557397,no
114_1986-08-11,114,1986-08-11,1986,8,223,10:40:00,1,38.98,23.7,3.165475048,no
114_1986-08-11,114,1986-08-11,1986,8,223,10:40:00,2,21.38,13,2.564949357,no
114_1986-08-11,114,1986-08-11,1986,8,223,10:40:00,3,12.99,7.9,2.066862759,no
114_1986-08-11,114,1986-08-11,1986,8,223,10:40:00,4,8.22,5,1.609437912,no
114_1986-08-26,114,1986-08-26,1986,8,238,10:13:00,0,100,282,5.641907071,yes
114_1986-08-26,114,1986-08-26,1986,8,238,10:13:00,0.5,53.9,152,5.023880521,no
114_1986-08-26,114,1986-08-26,1986,8,238,10:13:00,1,33.33,94,4.543294782,no
114_1986-08-26,114,1986-08-26,1986,8,238,10:13:00,2,18.75,52.9,3.968403339,no
114_1986-08-26,114,1986-08-26,1986,8,238,10:13:00,3,10.74,30.3,3.411147713,no
114_1986-08-26,114,1986-08-26,1986,8,238,10:13:00,4,6.03,17,2.833213344,no
114_1986-09-08,114,1986-09-08,1986,9,251,11:45:00,0,100,67,4.204692619,no
114_1986-09-08,114,1986-09-08,1986,9,251,11:45:00,0.5,75.82,50.8,3.927896355,no
114_1986-09-08,114,1986-09-08,1986,9,251,11:45:00,1,39.25,26.3,3.269568939,yes
114_1986-09-08,114,1986-09-08,1986,9,251,11:45:00,2,26.26,17.6,2.867898902,no
114_1986-09-08,114,1986-09-08,1986,9,251,11:45:00,3,16.26,10.9,2.388762789,no
114_1986-09-08,114,1986-09-08,1986,9,251,11:45:00,4,8.06,5.4,1.686398954,no
114_1986-09-22,114,1986-09-22,1986,9,265,12:00:00,0,100,180,5.192956851,yes
114_1986-09-22,114,1986-09-22,1986,9,265,12:00:00,0.5,42.77,77,4.343805422,no
114_1986-09-22,114,1986-09-22,1986,9,265,12:00:00,1,27.22,49,3.891820298,no
114_1986-09-22,114,1986-09-22,1986,9,265,12:00:00,2,13.33,24,3.17805383,no
114_1986-09-22,114,1986-09-22,1986,9,265,12:00:00,3,9.39,16.9,2.827313622,no
114_1986-09-22,114,1986-09-22,1986,9,265,12:00:00,4,5.72,10.3,2.332143895,no
114_1986-10-21,114,1986-10-21,1986,10,294,11:10:00,0,100,58,4.060443011,yes
114_1986-10-21,114,1986-10-21,1986,10,294,11:10:00,0.5,62.41,36.2,3.589059119,no
