ObjectID,GlobalID,CreationDate,Creator,EditDate,Editor,sample_master_id,collection_date,collection_time,collectors_initials,collection_equipment,Other - collection_equipment,sites_w_tubes,Other - sites_w_tubes,site,Other - site,start_depth,end_depth,numb_hauls_abundance,station_1,station_2,station_3,station_4,equipment_id ,Other - equipment_id ,station_5,station_6,station_7,station_8,frozen_archive_taken,numb_hauls_frozen_archive,notes_zoop_collection,filter_date,filter_initials,box_numb,filtration_notes,x,y
1,c61fbc3f-32b9-4aae-8f92-45768a3889ee,1/29/2021 4:19:30 PM,cdesjardins_IISD,1/29/2021 5:10:50 PM,cdesjardins_IISD,2020050606-03,5/6/2020 6:00:00 PM,14:05,PF,zootubes,,304_LA_CMP_PE,,,,,,,3,3,4,5,304_20_1,,6.5,,,,yes,1,,7/31/2020 6:00:00 PM,NB,1,Will have to update this visit with comments- field book in the city when entering this visit.,0,0
2,477bf337-522f-4878-8d39-ee70f551a714,1/29/2021 5:09:06 PM,cdesjardins_IISD,1/29/2021 5:09:06 PM,cdesjardins_IISD,2020050603-03,5/6/2020 6:00:00 PM,09:15,PF,zootubes,,373_LA_CMP_PE,,,,,,,2,14,6,20,373_20_1,,4,10,,,yes,1,1 haul per station,7/31/2020 6:00:00 PM,NB,1,Will have to update this visit- field book in city when entering data here,0,0
3,8875d9dc-d3d4-4ca0-8601-b5fbcde22b70,1/29/2021 5:14:16 PM,cdesjardins_IISD,1/29/2021 5:14:16 PM,cdesjardins_IISD,2020050705-02,5/7/2020 6:00:00 PM,14:10,"PF, LEH",zoonets,,,,223_LA_CB_PE,,0,13,2,,,,,223_20_1_223_20_2,,,,,,yes,1,,7/31/2020 6:00:00 PM,NB,1,Will have to update this visit- field book in the city when entering data here,0,0
4,2ae8b613-f9f1-497b-8357-1100a0a32014,1/29/2021 5:17:50 PM,cdesjardins_IISD,1/29/2021 5:17:50 PM,cdesjardins_IISD,2020050605-02,5/6/2020 6:00:00 PM,16:00,PF,zootubes,,303_LA_CMP_PE,,,,,,,2.25,1.75,1.75,1,303_20_1,,3,,,,yes,1,,7/31/2020 6:00:00 PM,NB,1,Need to update this visit- field book in city when entering data here,0,0
5,18d3ded3-09aa-4689-8614-748ef1158d5d,1/29/2021 5:23:05 PM,cdesjardins_IISD,1/29/2021 5:23:05 PM,cdesjardins_IISD,2020050706-03,5/7/2020 6:00:00 PM,15:00,"KS, LDH",zoonets,,,,224_LA_CB_PE,,0,25.5,2,,,,,224_20_1_224_20_2,,,,,,yes,1,,7/31/2020 6:00:00 PM,NB,1,,0,0
6,7ca30ef5-cff9-49e1-8253-9b22739b233c,1/29/2021 5:26:19 PM,cdesjardins_IISD,1/29/2021 5:26:19 PM,cdesjardins_IISD,2020050602-09,5/6/2020 6:00:00 PM,09:25,"KS, LEH",zoonets,,,,239_LA_CB_PE,,0,29.5,2,,,,,239_20_1_239_20_2,,,,,,no,,,7/31/2020 6:00:00 PM,NB,1,,0,0
7,03026d5e-ec98-440a-8c3b-d5c7ff6b6a3f,1/29/2021 5:31:12 PM,cdesjardins_IISD,1/29/2021 5:31:12 PM,cdesjardins_IISD,2020050604-03,5/6/2020 6:00:00 PM,14:25,"KS, LDH",zootubes,,260_LA_CMP_PE,,,,,,,5,14,6,2,260_20_1,,3.5,2,9,,yes,1,STATION #5 was 3.5m. Accidentally took frozen arch sample,7/31/2020 6:00:00 PM,NB,1,,0,0
8,eb3dbef3-c494-4325-82c9-ff7a880d43bc,1/29/2021 5:45:24 PM,cdesjardins_IISD,1/29/2021 5:45:24 PM,cdesjardins_IISD,2020050702-03,5/7/2020 6:00:00 PM,09:30,"PF, LDH",zoonets,,,,227_LA_CB_PE,,0,9,2,,,,,227_20_1_227_20_2,,,,,,no,,,7/31/2020 6:00:00 PM,NB,1,,0,0
9,add245ec-10b3-43f4-8c19-6722d585bbd2,1/29/2021 5:49:56 PM,cdesjardins_IISD,1/29/2021 5:49:56 PM,cdesjardins_IISD,2020050703-03,5/7/2020 6:00:00 PM,09:36,KS,zootubes,,378_LA_CMP_PE,,,,,,,4,6,,8,378_20_1,,,10,12,15.5,yes,1,,7/31/2020 6:00:00 PM,NB,1,Need to update this visit- field book in city when entering data here,0,0
10,841483eb-7a7a-407e-8c3e-eea42d2a6bf6,1/29/2021 5:55:13 PM,cdesjardins_IISD,1/29/2021 5:55:13 PM,cdesjardins_IISD,2020060207-02,6/2/2020 6:00:00 PM,13:45,"PF, LEH",zoonets,,,,223_LA_CB_PE,,0,13,2,,,,,223_20_1_223_20_2,,,,,,yes,1,,7/31/2020 6:00:00 PM,NB,1,,0,0
11,7bb2c0aa-f519-482d-8a63-7c693adf62eb,1/29/2021 5:59:01 PM,,1/29/2021 5:59:01 PM,,2020053102-09,6/1/2020 6:00:00 PM,09:00,"KS, LDH",zoonets,,,,239_LA_CB_PE,,0,29.5,2,,,,,239_20_1_239_20_2,,,,,,no,,,7/31/2020 6:00:00 PM,NB,1,,0,0
